"","codigo","ano","BAIXO_PESO"
"1","110001","2021","27"
"2","110002","2021","107"
"3","110003","2021","5"
"4","110004","2021","90"
"5","110005","2021","13"
"6","110006","2021","18"
"7","110007","2021","9"
"8","110008","2021","13"
"9","110009","2021","37"
"10","110010","2021","43"
"11","110011","2021","78"
"12","110012","2021","152"
"13","110013","2021","33"
"14","110014","2021","19"
"15","110015","2021","33"
"16","110018","2021","36"
"17","110020","2021","652"
"18","110025","2021","24"
"19","110026","2021","1"
"20","110028","2021","44"
"21","110029","2021","8"
"22","110030","2021","149"
"23","110032","2021","16"
"24","110033","2021","28"
"25","110034","2021","20"
"26","110037","2021","12"
"27","110040","2021","13"
"28","110045","2021","31"
"29","110050","2021","8"
"30","110060","2021","2"
"31","110070","2021","10"
"32","110080","2021","37"
"33","110090","2021","3"
"34","110092","2021","8"
"35","110094","2021","16"
"36","110100","2021","10"
"37","110110","2021","4"
"38","110120","2021","6"
"39","110130","2021","10"
"40","110140","2021","10"
"41","110143","2021","3"
"42","110146","2021","2"
"43","110147","2021","1"
"44","110148","2021","1"
"45","110149","2021","17"
"46","110150","2021","9"
"47","110155","2021","6"
"48","110160","2021","4"
"49","110170","2021","17"
"50","110175","2021","7"
"51","110180","2021","9"
"52","120001","2021","19"
"53","120005","2021","25"
"54","120010","2021","38"
"55","120013","2021","15"
"56","120017","2021","18"
"57","120020","2021","113"
"58","120025","2021","27"
"59","120030","2021","58"
"60","120032","2021","24"
"61","120033","2021","31"
"62","120034","2021","21"
"63","120035","2021","41"
"64","120038","2021","33"
"65","120039","2021","20"
"66","120040","2021","561"
"67","120042","2021","26"
"68","120043","2021","18"
"69","120045","2021","40"
"70","120050","2021","54"
"71","120060","2021","79"
"72","120070","2021","19"
"73","120080","2021","26"
"74","130000","2021","3"
"75","130002","2021","37"
"76","130006","2021","21"
"77","130008","2021","24"
"78","130010","2021","29"
"79","130014","2021","23"
"80","130020","2021","20"
"81","130030","2021","75"
"82","130040","2021","61"
"83","130050","2021","78"
"84","130060","2021","66"
"85","130063","2021","34"
"86","130068","2021","31"
"87","130070","2021","44"
"88","130080","2021","61"
"89","130083","2021","17"
"90","130090","2021","9"
"91","130100","2021","40"
"92","130110","2021","45"
"93","130115","2021","19"
"94","130120","2021","119"
"95","130130","2021","36"
"96","130140","2021","42"
"97","130150","2021","30"
"98","130160","2021","55"
"99","130165","2021","32"
"100","130170","2021","77"
"101","130180","2021","25"
"102","130185","2021","79"
"103","130190","2021","173"
"104","130195","2021","27"
"105","130200","2021","15"
"106","130210","2021","17"
"107","130220","2021","15"
"108","130230","2021","62"
"109","130240","2021","54"
"110","130250","2021","164"
"111","130255","2021","19"
"112","130260","2021","3314"
"113","130270","2021","66"
"114","130280","2021","27"
"115","130290","2021","124"
"116","130300","2021","31"
"117","130310","2021","51"
"118","130320","2021","26"
"119","130330","2021","28"
"120","130340","2021","196"
"121","130350","2021","32"
"122","130353","2021","49"
"123","130356","2021","24"
"124","130360","2021","35"
"125","130370","2021","54"
"126","130380","2021","97"
"127","130390","2021","78"
"128","130395","2021","12"
"129","130400","2021","14"
"130","130406","2021","140"
"131","130410","2021","33"
"132","130420","2021","130"
"133","130423","2021","27"
"134","130426","2021","30"
"135","130430","2021","21"
"136","130440","2021","26"
"137","140002","2021","79"
"138","140005","2021","113"
"139","140010","2021","696"
"140","140015","2021","42"
"141","140017","2021","36"
"142","140020","2021","39"
"143","140023","2021","17"
"144","140028","2021","11"
"145","140030","2021","39"
"146","140040","2021","34"
"147","140045","2021","43"
"148","140047","2021","57"
"149","140050","2021","9"
"150","140060","2021","9"
"151","140070","2021","63"
"152","150010","2021","215"
"153","150013","2021","12"
"154","150020","2021","59"
"155","150030","2021","95"
"156","150034","2021","11"
"157","150040","2021","80"
"158","150050","2021","60"
"159","150060","2021","181"
"160","150070","2021","46"
"161","150080","2021","606"
"162","150085","2021","57"
"163","150090","2021","63"
"164","150095","2021","30"
"165","150100","2021","14"
"166","150110","2021","45"
"167","150120","2021","30"
"168","150125","2021","5"
"169","150130","2021","198"
"170","150140","2021","1600"
"171","150145","2021","24"
"172","150150","2021","86"
"173","150157","2021","22"
"174","150160","2021","12"
"175","150170","2021","179"
"176","150172","2021","25"
"177","150175","2021","6"
"178","150178","2021","49"
"179","150180","2021","253"
"180","150190","2021","22"
"181","150195","2021","22"
"182","150200","2021","19"
"183","150210","2021","207"
"184","150215","2021","95"
"185","150220","2021","71"
"186","150230","2021","69"
"187","150240","2021","218"
"188","150250","2021","32"
"189","150260","2021","11"
"190","150270","2021","49"
"191","150275","2021","37"
"192","150276","2021","11"
"193","150277","2021","36"
"194","150280","2021","57"
"195","150285","2021","23"
"196","150290","2021","42"
"197","150293","2021","36"
"198","150295","2021","45"
"199","150300","2021","6"
"200","150304","2021","18"
"201","150307","2021","27"
"202","150309","2021","36"
"203","150310","2021","49"
"204","150320","2021","41"
"205","150330","2021","106"
"206","150340","2021","11"
"207","150345","2021","53"
"208","150350","2021","35"
"209","150360","2021","190"
"210","150370","2021","44"
"211","150375","2021","79"
"212","150380","2021","46"
"213","150390","2021","85"
"214","150400","2021","47"
"215","150405","2021","37"
"216","150410","2021","9"
"217","150420","2021","439"
"218","150430","2021","30"
"219","150440","2021","37"
"220","150442","2021","146"
"221","150445","2021","47"
"222","150450","2021","53"
"223","150460","2021","56"
"224","150470","2021","107"
"225","150475","2021","24"
"226","150480","2021","68"
"227","150490","2021","46"
"228","150495","2021","16"
"229","150497","2021","13"
"230","150500","2021","18"
"231","150503","2021","48"
"232","150506","2021","75"
"233","150510","2021","79"
"234","150520","2021","50"
"235","150530","2021","124"
"236","150540","2021","24"
"237","150543","2021","46"
"238","150548","2021","64"
"239","150549","2021","6"
"240","150550","2021","138"
"241","150553","2021","388"
"242","150555","2021","10"
"243","150560","2021","8"
"244","150563","2021","14"
"245","150565","2021","20"
"246","150570","2021","38"
"247","150580","2021","103"
"248","150590","2021","51"
"249","150600","2021","54"
"250","150610","2021","8"
"251","150611","2021","9"
"252","150613","2021","116"
"253","150616","2021","26"
"254","150618","2021","44"
"255","150619","2021","29"
"256","150620","2021","55"
"257","150630","2021","23"
"258","150635","2021","30"
"259","150640","2021","7"
"260","150650","2021","71"
"261","150655","2021","23"
"262","150658","2021","22"
"263","150660","2021","27"
"264","150670","2021","54"
"265","150680","2021","588"
"266","150690","2021","7"
"267","150700","2021","40"
"268","150710","2021","14"
"269","150715","2021","28"
"270","150720","2021","27"
"271","150730","2021","74"
"272","150740","2021","22"
"273","150745","2021","32"
"274","150746","2021","5"
"275","150747","2021","15"
"276","150750","2021","19"
"277","150760","2021","73"
"278","150770","2021","53"
"279","150775","2021","7"
"280","150780","2021","24"
"281","150790","2021","36"
"282","150795","2021","105"
"283","150796","2021","14"
"284","150797","2021","16"
"285","150800","2021","93"
"286","150803","2021","40"
"287","150805","2021","25"
"288","150808","2021","57"
"289","150810","2021","136"
"290","150812","2021","39"
"291","150815","2021","49"
"292","150820","2021","48"
"293","150830","2021","75"
"294","150835","2021","28"
"295","150840","2021","63"
"296","160005","2021","10"
"297","160010","2021","12"
"298","160015","2021","37"
"299","160020","2021","26"
"300","160021","2021","6"
"301","160023","2021","7"
"302","160025","2021","16"
"303","160027","2021","62"
"304","160030","2021","735"
"305","160040","2021","40"
"306","160050","2021","40"
"307","160053","2021","35"
"308","160055","2021","7"
"309","160060","2021","177"
"310","160070","2021","29"
"311","160080","2021","24"
"312","170025","2021","3"
"313","170030","2021","8"
"314","170035","2021","4"
"315","170040","2021","13"
"316","170070","2021","10"
"317","170100","2021","11"
"318","170105","2021","2"
"319","170110","2021","6"
"320","170130","2021","2"
"321","170190","2021","7"
"322","170200","2021","6"
"323","170210","2021","285"
"324","170215","2021","7"
"325","170220","2021","32"
"326","170230","2021","4"
"327","170240","2021","16"
"328","170255","2021","22"
"329","170270","2021","1"
"330","170290","2021","8"
"331","170300","2021","7"
"332","170305","2021","5"
"333","170307","2021","9"
"334","170310","2021","6"
"335","170320","2021","3"
"336","170330","2021","7"
"337","170360","2021","3"
"338","170370","2021","2"
"339","170380","2021","13"
"340","170382","2021","5"
"341","170384","2021","11"
"342","170386","2021","2"
"343","170388","2021","3"
"344","170389","2021","1"
"345","170390","2021","8"
"346","170410","2021","3"
"347","170510","2021","5"
"348","170550","2021","42"
"349","170555","2021","7"
"350","170560","2021","9"
"351","170600","2021","3"
"352","170610","2021","8"
"353","170625","2021","2"
"354","170650","2021","17"
"355","170700","2021","23"
"356","170710","2021","10"
"357","170720","2021","4"
"358","170730","2021","3"
"359","170740","2021","6"
"360","170755","2021","5"
"361","170765","2021","7"
"362","170770","2021","5"
"363","170820","2021","16"
"364","170830","2021","5"
"365","170900","2021","16"
"366","170930","2021","22"
"367","170950","2021","110"
"368","170980","2021","3"
"369","171050","2021","7"
"370","171070","2021","5"
"371","171090","2021","5"
"372","171110","2021","1"
