"","codigo","ano","COBERTURA_ASSIS_PRE_NATAL"
"1","110000","2021","3"
"2","110001","2021","348"
"3","110002","2021","1522"
"4","110003","2021","68"
"5","110004","2021","1354"
"6","110005","2021","245"
"7","110006","2021","229"
"8","110007","2021","117"
"9","110008","2021","182"
"10","110009","2021","476"
"11","110010","2021","771"
"12","110011","2021","884"
"13","110012","2021","1931"
"14","110013","2021","454"
"15","110014","2021","232"
"16","110015","2021","534"
"17","110018","2021","562"
"18","110020","2021","6596"
"19","110025","2021","251"
"20","110026","2021","47"
"21","110028","2021","789"
"22","110029","2021","78"
"23","110030","2021","1606"
"24","110032","2021","333"
"25","110033","2021","446"
"26","110034","2021","193"
"27","110037","2021","135"
"28","110040","2021","219"
"29","110045","2021","536"
"30","110050","2021","83"
"31","110060","2021","59"
"32","110070","2021","133"
"33","110080","2021","313"
"34","110090","2021","35"
"35","110092","2021","144"
"36","110094","2021","236"
"37","110100","2021","100"
"38","110110","2021","108"
"39","110120","2021","64"
"40","110130","2021","147"
"41","110140","2021","173"
"42","110143","2021","81"
"43","110145","2021","39"
"44","110146","2021","42"
"45","110147","2021","40"
"46","110148","2021","43"
"47","110149","2021","281"
"48","110150","2021","177"
"49","110155","2021","49"
"50","110160","2021","82"
"51","110170","2021","156"
"52","110175","2021","71"
"53","110180","2021","71"
"54","120000","2021","1"
"55","120001","2021","162"
"56","120005","2021","230"
"57","120010","2021","486"
"58","120013","2021","139"
"59","120017","2021","103"
"60","120020","2021","1716"
"61","120025","2021","268"
"62","120030","2021","724"
"63","120032","2021","235"
"64","120033","2021","365"
"65","120034","2021","212"
"66","120035","2021","388"
"67","120038","2021","158"
"68","120039","2021","317"
"69","120040","2021","3543"
"70","120042","2021","315"
"71","120043","2021","145"
"72","120045","2021","214"
"73","120050","2021","648"
"74","120060","2021","1004"
"75","120070","2021","230"
"76","120080","2021","211"
"77","130000","2021","25"
"78","130002","2021","424"
"79","130006","2021","281"
"80","130008","2021","175"
"81","130010","2021","259"
"82","130014","2021","286"
"83","130020","2021","258"
"84","130030","2021","932"
"85","130040","2021","428"
"86","130050","2021","912"
"87","130060","2021","1030"
"88","130063","2021","537"
"89","130068","2021","290"
"90","130070","2021","673"
"91","130080","2021","850"
"92","130083","2021","190"
"93","130090","2021","191"
"94","130100","2021","642"
"95","130110","2021","587"
"96","130115","2021","203"
"97","130120","2021","1519"
"98","130130","2021","478"
"99","130140","2021","686"
"100","130150","2021","358"
"101","130160","2021","624"
"102","130165","2021","326"
"103","130170","2021","1087"
"104","130180","2021","389"
"105","130185","2021","896"
"106","130190","2021","1927"
"107","130195","2021","286"
"108","130200","2021","203"
"109","130210","2021","165"
"110","130220","2021","192"
"111","130230","2021","604"
"112","130240","2021","850"
"113","130250","2021","2177"
"114","130255","2021","249"
"115","130260","2021","35264"
"116","130270","2021","935"
"117","130280","2021","422"
"118","130290","2021","1364"
"119","130300","2021","333"
"120","130310","2021","598"
"121","130320","2021","288"
"122","130330","2021","437"
"123","130340","2021","1894"
"124","130350","2021","385"
"125","130353","2021","588"
"126","130356","2021","398"
"127","130360","2021","341"
"128","130370","2021","810"
"129","130380","2021","1519"
"130","130390","2021","963"
"131","130395","2021","201"
"132","130400","2021","207"
"133","130406","2021","1767"
"134","130410","2021","445"
"135","130420","2021","1780"
"136","130423","2021","438"
"137","130426","2021","384"
"138","130430","2021","261"
"139","130440","2021","365"
"140","140002","2021","345"
"141","140005","2021","353"
"142","140010","2021","7437"
"143","140015","2021","408"
"144","140017","2021","365"
"145","140020","2021","369"
"146","140023","2021","204"
"147","140028","2021","120"
"148","140030","2021","330"
"149","140040","2021","440"
"150","140045","2021","524"
"151","140047","2021","532"
"152","140050","2021","134"
"153","140060","2021","94"
"154","140070","2021","647"
"155","150000","2021","1"
"156","150010","2021","2626"
"157","150013","2021","128"
"158","150020","2021","840"
"159","150030","2021","894"
"160","150034","2021","208"
"161","150040","2021","1078"
"162","150050","2021","745"
"163","150060","2021","2024"
"164","150070","2021","805"
"165","150080","2021","4949"
"166","150085","2021","622"
"167","150090","2021","864"
"168","150095","2021","404"
"169","150100","2021","176"
"170","150110","2021","472"
"171","150120","2021","565"
"172","150125","2021","52"
"173","150130","2021","2209"
"174","150140","2021","15348"
"175","150145","2021","278"
"176","150150","2021","804"
"177","150157","2021","281"
"178","150160","2021","185"
"179","150170","2021","2089"
"180","150172","2021","327"
"181","150175","2021","111"
"182","150178","2021","707"
"183","150180","2021","2078"
"184","150190","2021","354"
"185","150195","2021","314"
"186","150200","2021","277"
"187","150210","2021","2459"
"188","150215","2021","1418"
"189","150220","2021","1000"
"190","150230","2021","848"
"191","150240","2021","3225"
"192","150250","2021","294"
"193","150260","2021","127"
"194","150270","2021","730"
"195","150275","2021","506"
"196","150276","2021","203"
"197","150277","2021","371"
