"","codigo","ano","MAIS_DE_7_CONSULTAS_PRENATAL"
"1","110000","2021","2"
"2","110001","2021","217"
"3","110002","2021","1045"
"4","110003","2021","49"
"5","110004","2021","958"
"6","110005","2021","184"
"7","110006","2021","178"
"8","110007","2021","87"
"9","110008","2021","125"
"10","110009","2021","225"
"11","110010","2021","257"
"12","110011","2021","673"
"13","110012","2021","1332"
"14","110013","2021","315"
"15","110014","2021","161"
"16","110015","2021","342"
"17","110018","2021","367"
"18","110020","2021","3413"
"19","110025","2021","171"
"20","110026","2021","30"
"21","110028","2021","544"
"22","110029","2021","62"
"23","110030","2021","1139"
"24","110032","2021","191"
"25","110033","2021","219"
"26","110034","2021","119"
"27","110037","2021","84"
"28","110040","2021","152"
"29","110045","2021","311"
"30","110050","2021","53"
"31","110060","2021","44"
"32","110070","2021","86"
"33","110080","2021","168"
"34","110090","2021","26"
"35","110092","2021","82"
"36","110094","2021","149"
"37","110100","2021","63"
"38","110110","2021","71"
"39","110120","2021","46"
"40","110130","2021","102"
"41","110140","2021","116"
"42","110143","2021","60"
"43","110145","2021","21"
"44","110146","2021","19"
"45","110147","2021","22"
"46","110148","2021","28"
"47","110149","2021","174"
"48","110150","2021","140"
"49","110155","2021","37"
"50","110160","2021","57"
"51","110170","2021","81"
"52","110175","2021","59"
"53","110180","2021","47"
"54","120001","2021","100"
"55","120005","2021","78"
"56","120010","2021","167"
"57","120013","2021","55"
"58","120017","2021","43"
"59","120020","2021","909"
"60","120025","2021","89"
"61","120030","2021","184"
"62","120032","2021","39"
"63","120033","2021","184"
"64","120034","2021","42"
"65","120035","2021","119"
"66","120038","2021","79"
"67","120039","2021","86"
"68","120040","2021","1746"
"69","120042","2021","139"
"70","120043","2021","18"
"71","120045","2021","75"
"72","120050","2021","244"
"73","120060","2021","241"
"74","120070","2021","160"
"75","120080","2021","68"
"76","130000","2021","11"
"77","130002","2021","126"
"78","130006","2021","134"
"79","130008","2021","56"
"80","130010","2021","120"
"81","130014","2021","193"
"82","130020","2021","125"
"83","130030","2021","330"
"84","130040","2021","141"
"85","130050","2021","390"
"86","130060","2021","381"
"87","130063","2021","148"
"88","130068","2021","184"
