"","codigo","ano","MULHERES_AMARELAS"
"1","110002","2021","13"
"2","110004","2021","10"
"3","110005","2021","1"
"4","110008","2021","1"
"5","110009","2021","3"
"6","110011","2021","9"
"7","110012","2021","11"
"8","110013","2021","3"
"9","110014","2021","1"
"10","110015","2021","12"
"11","110018","2021","3"
"12","110020","2021","32"
"13","110028","2021","2"
"14","110030","2021","2"
"15","110032","2021","2"
"16","110033","2021","1"
"17","110037","2021","1"
"18","110040","2021","1"
"19","110045","2021","1"
"20","110050","2021","1"
"21","110092","2021","1"
"22","110100","2021","1"
"23","110130","2021","2"
"24","110140","2021","1"
"25","110143","2021","4"
"26","110149","2021","2"
"27","110155","2021","2"
"28","110170","2021","2"
"29","110180","2021","1"
"30","120001","2021","4"
"31","120010","2021","1"
"32","120013","2021","2"
"33","120017","2021","1"
"34","120020","2021","4"
"35","120030","2021","1"
"36","120034","2021","1"
"37","120035","2021","1"
"38","120038","2021","4"
"39","120040","2021","90"
"40","120042","2021","14"
"41","120045","2021","4"
"42","120050","2021","1"
"43","120080","2021","5"
"44","130014","2021","2"
"45","130030","2021","1"
"46","130070","2021","1"
"47","130110","2021","2"
"48","130115","2021","2"
"49","130120","2021","4"
"50","130140","2021","1"
"51","130180","2021","4"
"52","130260","2021","98"
"53","130270","2021","1"
"54","130290","2021","2"
"55","130300","2021","1"
"56","130356","2021","4"
"57","130390","2021","2"
"58","130406","2021","3"
"59","130420","2021","1"
"60","130426","2021","2"
"61","140010","2021","10"
"62","140020","2021","1"
"63","140030","2021","1"
"64","150020","2021","5"
"65","150034","2021","2"
"66","150040","2021","1"
"67","150060","2021","6"
"68","150080","2021","27"
"69","150085","2021","4"
"70","150130","2021","4"
"71","150140","2021","45"
"72","150145","2021","2"
"73","150150","2021","2"
"74","150160","2021","1"
"75","150172","2021","4"
"76","150178","2021","1"
"77","150195","2021","2"
"78","150210","2021","3"
"79","150215","2021","25"
"80","150220","2021","1"
"81","150240","2021","3"
"82","150250","2021","1"
"83","150270","2021","2"
"84","150277","2021","4"
"85","150280","2021","1"
"86","150285","2021","1"
"87","150293","2021","1"
"88","150295","2021","1"
"89","150304","2021","7"
"90","150320","2021","1"
"91","150345","2021","4"
"92","150360","2021","5"
"93","150370","2021","14"
"94","150380","2021","1"
"95","150390","2021","1"
"96","150400","2021","1"
"97","150405","2021","6"
"98","150420","2021","16"
"99","150442","2021","2"
"100","150445","2021","6"
"101","150450","2021","1"
"102","150460","2021","1"
"103","150470","2021","3"
"104","150475","2021","2"
"105","150480","2021","2"
"106","150490","2021","1"
"107","150497","2021","1"
"108","150530","2021","2"
"109","150543","2021","4"
"110","150548","2021","1"
"111","150550","2021","1"
"112","150553","2021","34"
"113","150555","2021","1"
"114","150560","2021","1"
"115","150563","2021","1"
"116","150570","2021","1"
"117","150580","2021","1"
"118","150590","2021","1"
"119","150600","2021","1"
"120","150610","2021","1"
"121","150613","2021","2"
"122","150620","2021","1"
"123","150630","2021","1"
"124","150635","2021","1"
"125","150658","2021","1"
"126","150670","2021","1"
"127","150680","2021","21"
"128","150720","2021","1"
"129","150730","2021","2"
"130","150745","2021","1"
"131","150747","2021","4"
"132","150750","2021","1"
"133","150760","2021","2"
"134","150770","2021","1"
"135","150775","2021","1"
"136","150780","2021","2"
"137","150795","2021","2"
"138","150800","2021","3"
"139","150805","2021","1"
"140","150808","2021","3"
"141","150810","2021","6"
"142","150815","2021","1"
"143","150830","2021","1"
"144","150840","2021","5"
"145","160015","2021","1"
"146","160030","2021","13"
"147","160040","2021","1"
"148","160050","2021","1"
"149","160060","2021","5"
"150","170030","2021","2"
"151","170040","2021","1"
"152","170070","2021","9"
"153","170100","2021","3"
"154","170105","2021","1"
"155","170200","2021","2"
"156","170210","2021","46"
"157","170215","2021","1"
"158","170220","2021","1"
"159","170240","2021","2"
"160","170255","2021","4"
"161","170305","2021","1"
"162","170382","2021","1"
"163","170384","2021","1"
"164","170386","2021","1"
"165","170550","2021","8"
"166","170560","2021","1"
"167","170625","2021","1"
"168","170650","2021","4"
"169","170700","2021","1"
"170","170720","2021","1"
"171","170730","2021","1"
"172","170740","2021","1"
"173","170765","2021","5"
"174","170770","2021","1"
"175","170820","2021","6"
"176","170900","2021","2"
"177","170930","2021","3"
"178","170950","2021","22"
"179","171190","2021","1"
"180","171195","2021","3"
"181","171240","2021","2"
"182","171250","2021","3"
"183","171320","2021","1"
"184","171360","2021","1"
"185","171380","2021","1"
"186","171395","2021","2"
"187","171430","2021","1"
"188","171488","2021","3"
"189","171500","2021","1"
"190","171510","2021","2"
"191","171610","2021","5"
"192","171620","2021","1"
"193","171650","2021","3"
"194","171660","2021","2"
"195","171665","2021","1"
"196","171700","2021","1"
"197","171720","2021","1"
"198","171750","2021","1"
"199","171790","2021","3"
"200","171820","2021","17"
"201","171830","2021","2"
