"","codigo","ano","nvm_com_cor_da_pele_branca"
"1","110001","2021","74"
"2","110002","2021","327"
"3","110003","2021","23"
"4","110004","2021","368"
"5","110005","2021","98"
"6","110006","2021","68"
"7","110007","2021","27"
"8","110008","2021","18"
"9","110009","2021","139"
"10","110010","2021","32"
"11","110011","2021","172"
"12","110012","2021","409"
"13","110013","2021","50"
"14","110014","2021","54"
"15","110015","2021","127"
"16","110018","2021","139"
"17","110020","2021","670"
"18","110025","2021","62"
"19","110026","2021","13"
"20","110028","2021","192"
"21","110029","2021","10"
"22","110030","2021","509"
"23","110032","2021","65"
"24","110033","2021","37"
"25","110034","2021","38"
"26","110037","2021","29"
"27","110040","2021","46"
"28","110045","2021","100"
"29","110050","2021","23"
"30","110060","2021","8"
"31","110070","2021","25"
"32","110080","2021","20"
"33","110090","2021","7"
"34","110092","2021","41"
"35","110094","2021","45"
"36","110100","2021","16"
"37","110110","2021","15"
"38","110120","2021","19"
"39","110130","2021","29"
"40","110140","2021","42"
"41","110143","2021","17"
"42","110145","2021","7"
"43","110146","2021","5"
"44","110147","2021","14"
"45","110148","2021","18"
"46","110149","2021","63"
"47","110150","2021","62"
"48","110155","2021","13"
"49","110160","2021","15"
"50","110170","2021","30"
"51","110175","2021","15"
"52","110180","2021","16"
"53","120001","2021","17"
"54","120005","2021","3"
"55","120010","2021","14"
"56","120013","2021","9"
"57","120017","2021","4"
"58","120020","2021","23"
"59","120025","2021","6"
"60","120030","2021","57"
"61","120032","2021","11"
"62","120033","2021","4"
"63","120034","2021","2"
"64","120035","2021","11"
"65","120038","2021","10"
"66","120039","2021","10"
"67","120040","2021","401"
"68","120042","2021","13"
"69","120043","2021","1"
"70","120045","2021","11"
"71","120050","2021","30"
"72","120060","2021","33"
"73","120070","2021","7"
"74","120080","2021","23"
"75","130000","2021","1"
"76","130002","2021","3"
"77","130008","2021","7"
"78","130010","2021","2"
"79","130014","2021","77"
"80","130020","2021","9"
"81","130030","2021","41"
"82","130040","2021","10"
"83","130050","2021","2"
"84","130060","2021","7"
"85","130070","2021","37"
"86","130080","2021","8"
"87","130083","2021","4"
"88","130090","2021","12"
"89","130100","2021","130"
"90","130110","2021","9"
"91","130115","2021","2"
"92","130120","2021","20"
"93","130130","2021","19"
"94","130140","2021","17"
"95","130150","2021","21"
"96","130160","2021","4"
"97","130165","2021","4"
"98","130170","2021","40"
"99","130180","2021","31"
"100","130185","2021","37"
"101","130190","2021","14"
"102","130195","2021","6"
"103","130200","2021","4"
"104","130220","2021","15"
"105","130230","2021","19"
"106","130240","2021","2"
"107","130250","2021","10"
"108","130255","2021","3"
"109","130260","2021","2979"
"110","130270","2021","56"
"111","130290","2021","2"
"112","130310","2021","4"
"113","130320","2021","5"
"114","130330","2021","2"
"115","130340","2021","6"
"116","130350","2021","32"
"117","130353","2021","27"
"118","130356","2021","24"
"119","130370","2021","6"
"120","130380","2021","12"
"121","130390","2021","3"
"122","130395","2021","1"
"123","130400","2021","2"
"124","130406","2021","49"
"125","130410","2021","3"
"126","130420","2021","4"
"127","130423","2021","1"
"128","130426","2021","1"
"129","130430","2021","1"
"130","130440","2021","4"
"131","140002","2021","9"
"132","140005","2021","7"
"133","140010","2021","843"
"134","140015","2021","9"
"135","140017","2021","29"
"136","140020","2021","25"
"137","140023","2021","17"
"138","140028","2021","5"
"139","140030","2021","31"
"140","140040","2021","4"
"141","140045","2021","28"
"142","140047","2021","23"
"143","140050","2021","9"
"144","140060","2021","9"
"145","140070","2021","2"
"146","150010","2021","113"
"147","150013","2021","7"
"148","150020","2021","28"
"149","150030","2021","81"
"150","150034","2021","21"
"151","150040","2021","8"
"152","150050","2021","38"
"153","150060","2021","214"
"154","150070","2021","6"
"155","150080","2021","583"
"156","150085","2021","24"
"157","150090","2021","3"
"158","150095","2021","8"
"159","150100","2021","3"
"160","150110","2021","10"
"161","150120","2021","5"
"162","150125","2021","4"
"163","150130","2021","79"
"164","150140","2021","2050"
"165","150145","2021","6"
"166","150150","2021","67"
"167","150157","2021","24"
"168","150160","2021","8"
"169","150170","2021","10"
"170","150172","2021","25"
"171","150175","2021","4"
"172","150178","2021","37"
"173","150180","2021","43"
"174","150190","2021","5"
"175","150195","2021","6"
"176","150200","2021","3"
"177","150210","2021","30"
"178","150215","2021","118"
"179","150220","2021","62"
"180","150230","2021","31"
"181","150240","2021","123"
"182","150250","2021","21"
"183","150260","2021","9"
"184","150270","2021","47"
"185","150275","2021","14"
"186","150276","2021","11"
"187","150277","2021","19"
"188","150280","2021","52"
"189","150285","2021","1"
"190","150290","2021","27"
"191","150293","2021","45"
"192","150295","2021","31"
"193","150300","2021","1"
"194","150304","2021","22"
"195","150307","2021","18"
"196","150309","2021","54"
"197","150310","2021","15"
"198","150320","2021","15"
"199","150330","2021","56"
"200","150345","2021","13"
"201","150350","2021","7"
"202","150360","2021","118"
"203","150370","2021","47"
"204","150375","2021","21"
"205","150380","2021","43"
"206","150390","2021","3"
"207","150400","2021","14"
"208","150405","2021","30"
"209","150410","2021","1"
"210","150420","2021","439"
"211","150430","2021","13"
"212","150440","2021","10"
"213","150442","2021","88"
"214","150445","2021","69"
"215","150450","2021","29"
"216","150460","2021","13"
"217","150470","2021","28"
"218","150475","2021","13"
"219","150480","2021","8"
"220","150490","2021","2"
"221","150495","2021","12"
"222","150497","2021","19"
"223","150500","2021","7"
"224","150503","2021","84"
"225","150506","2021","53"
"226","150510","2021","7"
"227","150520","2021","14"
"228","150530","2021","47"
"229","150540","2021","28"
"230","150543","2021","98"
"231","150548","2021","57"
"232","150549","2021","4"
"233","150550","2021","39"
"234","150553","2021","488"
"235","150555","2021","13"
"236","150560","2021","3"
"237","150563","2021","12"
"238","150565","2021","27"
"239","150570","2021","8"
"240","150580","2021","24"
"241","150590","2021","58"
"242","150600","2021","3"
"243","150610","2021","4"
"244","150611","2021","4"
"245","150613","2021","203"
"246","150616","2021","37"
"247","150618","2021","32"
"248","150619","2021","31"
"249","150620","2021","7"
"250","150630","2021","8"
"251","150635","2021","9"
"252","150650","2021","27"
"253","150655","2021","7"
"254","150658","2021","15"
"255","150660","2021","8"
"256","150670","2021","31"
"257","150680","2021","228"
"258","150690","2021","2"
"259","150700","2021","20"
"260","150710","2021","5"
"261","150715","2021","23"
"262","150720","2021","7"
"263","150730","2021","53"
"264","150740","2021","4"
"265","150745","2021","32"
"266","150746","2021","1"
"267","150747","2021","6"
"268","150750","2021","7"
"269","150760","2021","21"
"270","150770","2021","14"
"271","150775","2021","8"
"272","150780","2021","14"
"273","150790","2021","3"
"274","150795","2021","51"
"275","150796","2021","1"
"276","150797","2021","3"
"277","150800","2021","39"
"278","150805","2021","26"
"279","150808","2021","102"
"280","150810","2021","172"
"281","150812","2021","49"
"282","150815","2021","36"
"283","150820","2021","39"
"284","150830","2021","54"
"285","150835","2021","24"
"286","150840","2021","80"
"287","160005","2021","11"
"288","160010","2021","13"
"289","160015","2021","23"
"290","160020","2021","3"
"291","160021","2021","6"
"292","160023","2021","8"
"293","160025","2021","6"
"294","160027","2021","40"
"295","160030","2021","1080"
"296","160040","2021","34"
"297","160050","2021","25"
"298","160053","2021","38"
"299","160055","2021","8"
"300","160060","2021","212"
"301","160070","2021","33"
"302","160080","2021","12"
"303","170025","2021","1"
"304","170030","2021","8"
"305","170035","2021","6"
"306","170040","2021","5"
"307","170070","2021","18"
"308","170100","2021","10"
"309","170105","2021","3"
"310","170110","2021","3"
"311","170130","2021","11"
"312","170190","2021","9"
"313","170200","2021","15"
"314","170210","2021","389"
"315","170215","2021","2"
"316","170220","2021","21"
"317","170230","2021","7"
"318","170240","2021","4"
"319","170255","2021","18"
"320","170270","2021","3"
"321","170290","2021","4"
"322","170300","2021","8"
"323","170305","2021","11"
"324","170307","2021","5"
"325","170310","2021","4"
"326","170320","2021","3"
"327","170330","2021","1"
"328","170360","2021","1"
"329","170370","2021","5"
"330","170380","2021","12"
"331","170382","2021","3"
"332","170384","2021","11"
"333","170386","2021","10"
"334","170388","2021","3"
"335","170389","2021","2"
"336","170390","2021","12"
"337","170410","2021","1"
"338","170460","2021","2"
"339","170510","2021","2"
"340","170550","2021","57"
"341","170555","2021","6"
"342","170560","2021","1"
"343","170600","2021","3"
"344","170610","2021","1"
"345","170625","2021","1"
"346","170650","2021","9"
"347","170700","2021","25"
"348","170710","2021","13"
"349","170720","2021","2"
"350","170730","2021","3"
"351","170740","2021","6"
"352","170755","2021","6"
"353","170765","2021","9"
"354","170770","2021","15"
"355","170820","2021","29"
"356","170825","2021","2"
"357","170830","2021","2"
"358","170900","2021","10"
"359","170930","2021","35"
"360","170950","2021","195"
"361","171050","2021","4"
"362","171070","2021","4"
"363","171090","2021","6"
"364","171150","2021","3"
"365","171180","2021","6"
"366","171190","2021","20"
"367","171195","2021","2"
"368","171200","2021","4"
"369","171215","2021","2"
"370","171240","2021","3"
"371","171245","2021","7"
"372","171250","2021","6"
"373","171270","2021","2"
"374","171280","2021","3"
"375","171320","2021","20"
"376","171330","2021","21"
"377","171360","2021","2"
"378","171370","2021","7"
"379","171380","2021","2"
"380","171395","2021","4"
"381","171420","2021","8"
"382","171430","2021","4"
"383","171488","2021","11"
"384","171500","2021","6"
"385","171510","2021","4"
"386","171525","2021","1"
"387","171550","2021","3"
"388","171575","2021","5"
"389","171610","2021","132"
"390","171620","2021","4"
"391","171630","2021","5"
"392","171650","2021","11"
"393","171660","2021","7"
"394","171665","2021","4"
"395","171670","2021","14"
"396","171700","2021","3"
"397","171720","2021","3"
"398","171750","2021","6"
"399","171780","2021","1"
"400","171790","2021","2"
"401","171800","2021","3"
"402","171820","2021","91"
"403","171830","2021","7"
"404","171845","2021","4"
"405","171850","2021","1"
"406","171855","2021","5"
"407","171865","2021","2"
"408","171870","2021","4"
"409","171880","2021","3"
"410","171884","2021","3"
"411","171886","2021","7"
"412","171888","2021","5"
"413","171889","2021","4"
"414","171890","2021","1"
