"","codigo","ano","MULHERES_COM_8_A_11_ANOS_DE_ESTUDO"
"1","110000","2021","4"
"2","110001","2021","232"
"3","110002","2021","935"
"4","110003","2021","48"
"5","110004","2021","857"
"6","110005","2021","122"
"7","110006","2021","132"
"8","110007","2021","78"
"9","110008","2021","106"
"10","110009","2021","252"
"11","110010","2021","582"
"12","110011","2021","615"
"13","110012","2021","1140"
"14","110013","2021","236"
"15","110014","2021","175"
"16","110015","2021","304"
"17","110018","2021","362"
"18","110020","2021","4151"
"19","110025","2021","168"
"20","110026","2021","34"
"21","110028","2021","513"
"22","110029","2021","53"
"23","110030","2021","1002"
"24","110032","2021","241"
"25","110033","2021","359"
"26","110034","2021","148"
"27","110037","2021","97"
"28","110040","2021","149"
"29","110045","2021","318"
"30","110050","2021","54"
"31","110060","2021","41"
"32","110070","2021","83"
"33","110080","2021","223"
"34","110090","2021","26"
"35","110092","2021","94"
"36","110094","2021","145"
"37","110100","2021","78"
"38","110110","2021","69"
"39","110120","2021","44"
"40","110130","2021","88"
"41","110140","2021","121"
"42","110143","2021","52"
"43","110145","2021","31"
"44","110146","2021","32"
"45","110147","2021","25"
"46","110148","2021","22"
"47","110149","2021","191"
"48","110150","2021","134"
"49","110155","2021","34"
"50","110160","2021","55"
"51","110170","2021","108"
"52","110175","2021","46"
"53","110180","2021","48"
"54","120000","2021","1"
"55","120001","2021","125"
"56","120005","2021","79"
"57","120010","2021","243"
"58","120013","2021","128"
"59","120017","2021","109"
"60","120020","2021","1168"
"61","120025","2021","160"
"62","120030","2021","436"
"63","120032","2021","134"
"64","120033","2021","274"
"65","120034","2021","71"
"66","120035","2021","240"
"67","120038","2021","128"
"68","120039","2021","209"
"69","120040","2021","2891"
"70","120042","2021","227"
"71","120043","2021","65"
"72","120045","2021","207"
"73","120050","2021","384"
"74","120060","2021","654"
"75","120070","2021","161"
"76","120080","2021","175"
"77","130000","2021","7"
"78","130002","2021","295"
"79","130006","2021","189"
"80","130008","2021","155"
"81","130010","2021","181"
"82","130014","2021","204"
"83","130020","2021","111"
"84","130030","2021","679"
"85","130040","2021","253"
"86","130050","2021","557"
"87","130060","2021","716"
"88","130063","2021","360"
"89","130068","2021","232"
"90","130070","2021","468"
"91","130080","2021","634"
"92","130083","2021","144"
"93","130090","2021","120"
"94","130100","2021","501"
"95","130110","2021","445"
"96","130115","2021","160"
"97","130120","2021","1141"
"98","130130","2021","328"
"99","130140","2021","407"
"100","130150","2021","197"
"101","130160","2021","483"
"102","130165","2021","230"
"103","130170","2021","745"
"104","130180","2021","200"
"105","130185","2021","680"
"106","130190","2021","1552"
"107","130195","2021","145"
"108","130200","2021","177"
"109","130210","2021","122"
"110","130220","2021","107"
"111","130230","2021","352"
"112","130240","2021","575"
"113","130250","2021","1744"
"114","130255","2021","213"
"115","130260","2021","25191"
"116","130270","2021","710"
"117","130280","2021","315"
"118","130290","2021","1092"
"119","130300","2021","278"
"120","130310","2021","467"
"121","130320","2021","214"
"122","130330","2021","328"
"123","130340","2021","1679"
"124","130350","2021","197"
"125","130353","2021","440"
"126","130356","2021","290"
"127","130360","2021","168"
"128","130370","2021","566"
"129","130380","2021","1049"
"130","130390","2021","711"
"131","130395","2021","158"
"132","130400","2021","170"
"133","130406","2021","1181"
"134","130410","2021","232"
"135","130420","2021","1369"
"136","130423","2021","328"
"137","130426","2021","255"
"138","130430","2021","226"
"139","130440","2021","279"
"140","140002","2021","165"
"141","140005","2021","196"
"142","140010","2021","5275"
"143","140015","2021","278"
"144","140017","2021","285"
"145","140020","2021","249"
"146","140023","2021","147"
"147","140028","2021","81"
"148","140030","2021","250"
"149","140040","2021","334"
"150","140045","2021","367"
"151","140047","2021","413"
"152","140050","2021","101"
