"","codigo","ano","nvm_com_escolaridade_de_8_a_11"
"1",110001,2021,232
"2",110002,2021,935
"3",110003,2021,48
"4",110004,2021,857
"5",110005,2021,122
"6",110006,2021,132
"7",110007,2021,78
"8",110008,2021,106
"9",110009,2021,252
"10",110010,2021,582
"11",110011,2021,615
"12",110012,2021,1140
"13",110013,2021,236
"14",110014,2021,175
"15",110015,2021,304
"16",110018,2021,362
"17",110020,2021,4151
"18",110025,2021,168
"19",110026,2021,34
"20",110028,2021,513
"21",110029,2021,53
"22",110030,2021,1002
"23",110032,2021,241
"24",110033,2021,359
"25",110034,2021,148
"26",110037,2021,97
"27",110040,2021,149
"28",110045,2021,318
"29",110050,2021,54
"30",110060,2021,41
"31",110070,2021,83
"32",110080,2021,223
"33",110090,2021,26
"34",110092,2021,94
"35",110094,2021,145
"36",110100,2021,78
"37",110110,2021,69
"38",110120,2021,44
"39",110130,2021,88
"40",110140,2021,121
"41",110143,2021,52
"42",110145,2021,31
"43",110146,2021,32
"44",110147,2021,25
"45",110148,2021,22
"46",110149,2021,191
"47",110150,2021,134
"48",110155,2021,34
"49",110160,2021,55
"50",110170,2021,108
"51",110175,2021,46
"52",110180,2021,48
"53",120001,2021,125
"54",120005,2021,79
"55",120010,2021,243
"56",120013,2021,128
"57",120017,2021,109
"58",120020,2021,1168
"59",120025,2021,160
"60",120030,2021,436
"61",120032,2021,134
"62",120033,2021,274
"63",120034,2021,71
"64",120035,2021,240
"65",120038,2021,128
"66",120039,2021,209
"67",120040,2021,2891
"68",120042,2021,227
"69",120043,2021,65
"70",120045,2021,207
"71",120050,2021,384
"72",120060,2021,654
"73",120070,2021,161
"74",120080,2021,175
"75",130002,2021,295
"76",130006,2021,189
"77",130008,2021,155
"78",130010,2021,181
"79",130014,2021,204
"80",130020,2021,111
"81",130030,2021,679
"82",130040,2021,253
"83",130050,2021,557
"84",130060,2021,716
"85",130063,2021,360
"86",130068,2021,232
"87",130070,2021,468
"88",130080,2021,634
"89",130083,2021,144
"90",130090,2021,120
"91",130100,2021,501
"92",130110,2021,445
"93",130115,2021,160
"94",130120,2021,1141
"95",130130,2021,328
"96",130140,2021,407
"97",130150,2021,197
"98",130160,2021,483
"99",130165,2021,230
"100",130170,2021,745
"101",130180,2021,200
"102",130185,2021,680
"103",130190,2021,1552
"104",130195,2021,145
"105",130200,2021,177
"106",130210,2021,122
"107",130220,2021,107
"108",130230,2021,352
"109",130240,2021,575
"110",130250,2021,1744
"111",130255,2021,213
"112",130260,2021,25191
"113",130270,2021,710
"114",130280,2021,315
"115",130290,2021,1092
"116",130300,2021,278
"117",130310,2021,467
"118",130320,2021,214
"119",130330,2021,328
"120",130340,2021,1679
"121",130350,2021,197
"122",130353,2021,440
"123",130356,2021,290
"124",130360,2021,168
"125",130370,2021,566
"126",130380,2021,1049
"127",130390,2021,711
"128",130395,2021,158
"129",130400,2021,170
"130",130406,2021,1181
