"codigo","ano","nvm_entre_20_e_34_anos"
110001,2021,263
110002,2021,1109
110003,2021,45
110004,2021,1048
110005,2021,177
110006,2021,176
110007,2021,74
110008,2021,134
110009,2021,351
110010,2021,550
110011,2021,680
110012,2021,1425
110013,2021,334
110014,2021,168
110015,2021,396
110018,2021,417
110020,2021,5501
110025,2021,175
110026,2021,40
110028,2021,618
110029,2021,58
110030,2021,1180
110032,2021,267
110033,2021,330
110034,2021,154
110037,2021,104
110040,2021,168
110045,2021,394
110050,2021,62
110060,2021,47
110070,2021,92
110080,2021,251
110090,2021,28
110092,2021,114
110094,2021,169
110100,2021,81
110110,2021,91
110120,2021,53
110130,2021,114
110140,2021,127
110143,2021,59
110145,2021,30
110146,2021,28
110147,2021,31
110148,2021,35
110149,2021,210
110150,2021,118
110155,2021,45
110160,2021,59
110170,2021,120
110175,2021,54
110180,2021,46
120001,2021,178
120005,2021,163
120010,2021,348
120013,2021,167
120017,2021,134
120020,2021,1140
120025,2021,217
120030,2021,508
120032,2021,154
120033,2021,248
120034,2021,171
120035,2021,233
120038,2021,174
120039,2021,196
120040,2021,3840
120042,2021,198
120043,2021,100
120045,2021,262
120050,2021,464
120060,2021,667
120070,2021,210
120080,2021,215
130002,2021,251
130006,2021,179
130008,2021,108
130010,2021,157
130014,2021,205
130020,2021,179
130030,2021,575
130040,2021,295
130050,2021,586
130060,2021,666
130063,2021,345
130068,2021,179
130070,2021,455
130080,2021,528
130083,2021,126
130090,2021,118
130100,2021,407
130110,2021,389
130115,2021,144
130120,2021,1014
130130,2021,286
130140,2021,387
130150,2021,201
130160,2021,394
130165,2021,200
130170,2021,754
130180,2021,225
130185,2021,623
130190,2021,1333
130195,2021,176
130200,2021,138
130210,2021,99
130220,2021,115
130230,2021,401
130240,2021,547
130250,2021,1472
130255,2021,166
130260,2021,25686
130270,2021,631
130280,2021,257
130290,2021,929
130300,2021,237
130310,2021,393
130320,2021,190
130330,2021,272
130340,2021,1338
130350,2021,255
130353,2021,417
130356,2021,284
130360,2021,226
130370,2021,476
130380,2021,1070
130390,2021,649
130395,2021,143
130400,2021,138
130406,2021,1140
130410,2021,303
130420,2021,1148
130423,2021,289
130426,2021,224
130430,2021,171
130440,2021,245
140002,2021,265
140005,2021,445
140010,2021,5699
140015,2021,261
140017,2021,244
140020,2021,270
140023,2021,151
140028,2021,91
140030,2021,235
140040,2021,289
140045,2021,404
140047,2021,392
140050,2021,101
140060,2021,79
140070,2021,436
150010,2021,2023
150013,2021,97
150020,2021,644
150030,2021,634
150034,2021,139
150040,2021,688
150050,2021,506
150060,2021,1517
150070,2021,496
150080,2021,4875
150085,2021,406
150090,2021,586
150095,2021,262
150100,2021,110
150110,2021,360
150120,2021,397
150125,2021,38
150130,2021,1640
150140,2021,11705
150145,2021,186
150150,2021,682
150157,2021,182
150160,2021,128
150170,2021,1438
150172,2021,220
150175,2021,83
150178,2021,441
150180,2021,1786
150190,2021,281
150195,2021,217
150200,2021,186
150210,2021,1718
150215,2021,1054
150220,2021,733
150230,2021,561
150240,2021,2315
150250,2021,247
150260,2021,91
150270,2021,534
150275,2021,340
150276,2021,128
150277,2021,251
150280,2021,457
150285,2021,127
150290,2021,347
150293,2021,477
150295,2021,310
150300,2021,78
150304,2021,211
150307,2021,267
150309,2021,386
150310,2021,465
150320,2021,377
150330,2021,762
150340,2021,135
150345,2021,411
150350,2021,300
150360,2021,1789
150370,2021,508
150375,2021,388
150380,2021,465
150390,2021,733
150400,2021,318
150405,2021,366
150410,2021,64
150420,2021,3222
150430,2021,268
150440,2021,218
150442,2021,1228
150445,2021,312
150450,2021,375
150460,2021,353
150470,2021,862
150475,2021,195
150480,2021,769
150490,2021,462
150495,2021,218
150497,2021,131
150500,2021,93
150503,2021,489
150506,2021,824
150510,2021,651
150520,2021,476
150530,2021,1031
150540,2021,208
150543,2021,421
150548,2021,517
150549,2021,78
150550,2021,1319
150553,2021,3653
150555,2021,84
150560,2021,64
150563,2021,122
150565,2021,201
150570,2021,219
150580,2021,1026
150590,2021,464
150600,2021,501
150610,2021,113
150611,2021,100
150613,2021,1208
150616,2021,210
150618,2021,429
150619,2021,300
150620,2021,509
150630,2021,238
150635,2021,220
150640,2021,49
150650,2021,678
150655,2021,207
150658,2021,128
150660,2021,251
150670,2021,464
150680,2021,4732
150690,2021,75
150700,2021,296
150710,2021,132
150715,2021,251
150720,2021,304
150730,2021,724
150740,2021,177
150745,2021,308
150746,2021,51
150747,2021,208
150750,2021,144
150760,2021,622
150770,2021,393
150775,2021,56
150780,2021,182
150790,2021,277
150795,2021,1043
150796,2021,129
150797,2021,208
150800,2021,1024
150803,2021,300
150805,2021,177
150808,2021,513
150810,2021,1154
150812,2021,261
150815,2021,515
150820,2021,425
150830,2021,691
150835,2021,229
150840,2021,690
160005,2021,66
160010,2021,101
160015,2021,202
160020,2021,132
160021,2021,63
160023,2021,95
160025,2021,96
160027,2021,455
160030,2021,5780
160040,2021,357
160050,2021,391
160053,2021,256
160055,2021,64
160060,2021,1433
160070,2021,199
160080,2021,163
170025,2021,16
170030,2021,54
170035,2021,43
170040,2021,84
170070,2021,89
170100,2021,108
170105,2021,23
170110,2021,44
170130,2021,42
170190,2021,55
170200,2021,61
170210,2021,2194
170215,2021,48
170220,2021,308
170230,2021,73
170240,2021,90
170255,2021,196
170270,2021,15
170290,2021,127
170300,2021,69
170305,2021,36
170307,2021,58
170310,2021,40
170320,2021,39
170330,2021,35
170360,2021,16
170370,2021,37
170380,2021,103
170382,2021,22
170384,2021,106
170386,2021,41
170388,2021,24
170389,2021,31
170390,2021,50
170410,2021,18
170460,2021,12
170510,2021,40
170550,2021,424
170555,2021,39
170560,2021,38
170600,2021,48
170610,2021,51
170625,2021,14
170650,2021,66
170700,2021,195
170710,2021,70
170720,2021,38
170730,2021,32
170740,2021,93
170755,2021,28
170765,2021,36
170770,2021,64
170820,2021,208
170825,2021,32
170830,2021,40
170900,2021,112
170930,2021,251
170950,2021,906
170980,2021,16
171050,2021,63
171070,2021,50
171090,2021,41
171110,2021,31
171150,2021,19
171180,2021,25
171190,2021,187
171195,2021,40
171200,2021,41
171215,2021,7
171240,2021,31
171245,2021,35
171250,2021,43
171270,2021,26
171280,2021,29
171320,2021,209
171330,2021,134
171360,2021,53
171370,2021,18
171380,2021,55
171395,2021,39
171420,2021,71
171430,2021,44
171488,2021,115
171500,2021,33
171510,2021,39
171515,2021,14
171525,2021,25
171550,2021,9
171570,2021,29
171575,2021,55
171610,2021,554
171620,2021,104
171630,2021,49
171650,2021,151
171660,2021,88
171665,2021,50
171670,2021,99
171700,2021,29
171720,2021,26
171750,2021,60
171780,2021,25
171790,2021,65
171800,2021,33
171820,2021,806
171830,2021,61
171840,2021,28
171845,2021,24
171850,2021,33
171855,2021,45
171865,2021,22
171870,2021,26
171875,2021,42
171880,2021,59
171884,2021,32
171886,2021,82
171888,2021,24
171889,2021,23
171890,2021,62
171900,2021,35
172000,2021,19
172010,2021,51
172015,2021,14
172020,2021,104
172025,2021,16
172030,2021,34
172049,2021,31
172065,2021,38
172080,2021,92
172085,2021,14
172090,2021,126
172093,2021,26
172097,2021,24
172100,2021,3583
172110,2021,106
172120,2021,292
172125,2021,22
172130,2021,19
172208,2021,100
172210,2021,130
210005,2021,1339
210010,2021,78
210015,2021,115
210020,2021,145
210030,2021,263
210040,2021,47
210043,2021,278
210047,2021,320
210050,2021,115
210055,2021,81
210060,2021,498
210070,2021,199
210080,2021,209
210083,2021,183
210087,2021,102
210090,2021,366
210095,2021,359
210100,2021,305
210110,2021,75
210120,2021,1216
210125,2021,170
210130,2021,166
210135,2021,48
210140,2021,1385
210150,2021,204
210160,2021,960
210170,2021,885
210173,2021,143
210177,2021,129
210180,2021,46
210190,2021,163
210193,2021,42
210197,2021,76
210200,2021,378
210203,2021,354
210207,2021,93
210210,2021,351
210215,2021,111
210220,2021,315
210230,2021,234
210232,2021,705
210235,2021,128
210237,2021,39
210240,2021,93
210250,2021,188
210255,2021,119
210260,2021,218
210270,2021,179
210275,2021,107
210280,2021,241
210290,2021,310
210300,2021,1729
210310,2021,93
210312,2021,93
210315,2021,149
210317,2021,206
210320,2021,984
210325,2021,113
210330,2021,1312
210340,2021,486
210350,2021,429
210355,2021,143
210360,2021,703
210370,2021,332
210375,2021,150
210380,2021,197
210390,2021,116
210400,2021,200
210405,2021,337
210407,2021,82
210408,2021,190
210409,2021,159
210410,2021,146
210420,2021,163
210430,2021,100
210440,2021,153
210450,2021,101
210455,2021,206
210460,2021,142
210462,2021,79
210465,2021,84
210467,2021,300
210470,2021,30
210480,2021,990
210490,2021,99
210500,2021,317
210510,2021,267
210515,2021,179
210520,2021,123
210530,2021,3381
210535,2021,159
210540,2021,806
210542,2021,210
210545,2021,92
210547,2021,266
210550,2021,323
210560,2021,158
210565,2021,63
210570,2021,525
210580,2021,93
210590,2021,136
210592,2021,107
210594,2021,59
210596,2021,154
210598,2021,84
210600,2021,130
210610,2021,92
210620,2021,69
210630,2021,116
210632,2021,226
210635,2021,60
210637,2021,105
210640,2021,180
210650,2021,247
210660,2021,306
210663,2021,71
210667,2021,59
210670,2021,239
210675,2021,241
210680,2021,167
210690,2021,302
210700,2021,112
210710,2021,78
210720,2021,156
210725,2021,66
210730,2021,27
210735,2021,189
210740,2021,168
