"","codigo","ano","nvm_maior_que_34_anos"
"1","110001","2021","34"
"2","110002","2021","171"
"3","110003","2021","8"
"4","110004","2021","170"
"5","110005","2021","35"
"6","110006","2021","28"
"7","110007","2021","17"
"8","110008","2021","18"
"9","110009","2021","54"
"10","110010","2021","90"
"11","110011","2021","93"
"12","110012","2021","258"
"13","110013","2021","37"
"14","110014","2021","22"
"15","110015","2021","71"
"16","110018","2021","60"
"17","110020","2021","1033"
"18","110025","2021","36"
"19","110026","2021","4"
"20","110028","2021","92"
"21","110029","2021","10"
"22","110030","2021","197"
"23","110032","2021","36"
"24","110033","2021","43"
"25","110034","2021","26"
"26","110037","2021","15"
"27","110040","2021","24"
"28","110045","2021","68"
"29","110050","2021","14"
"30","110060","2021","8"
"31","110070","2021","10"
"32","110080","2021","31"
"33","110090","2021","5"
"34","110092","2021","14"
"35","110094","2021","22"
"36","110100","2021","6"
"37","110110","2021","8"
"38","110120","2021","4"
"39","110130","2021","16"
"40","110140","2021","16"
"41","110143","2021","14"
"42","110145","2021","2"
"43","110146","2021","3"
"44","110147","2021","4"
"45","110148","2021","7"
"46","110149","2021","23"
"47","110150","2021","28"
"48","110155","2021","3"
"49","110160","2021","7"
"50","110170","2021","23"
"51","110175","2021","10"
"52","110180","2021","12"
"53","120001","2021","29"
"54","120005","2021","28"
"55","120010","2021","48"
"56","120013","2021","23"
"57","120017","2021","23"
"58","120020","2021","228"
"59","120025","2021","30"
"60","120030","2021","112"
"61","120032","2021","35"
"62","120033","2021","34"
"63","120034","2021","30"
"64","120035","2021","53"
"65","120038","2021","36"
"66","120039","2021","35"
"67","120040","2021","900"
"68","120042","2021","35"
"69","120043","2021","22"
"70","120045","2021","53"
"71","120050","2021","83"
"72","120060","2021","91"
"73","120070","2021","35"
"74","120080","2021","45"
"75","130000","2021","2"
"76","130002","2021","22"
"77","130006","2021","18"
"78","130008","2021","15"
"79","130010","2021","22"
"80","130014","2021","15"
"81","130020","2021","30"
"82","130030","2021","70"
"83","130040","2021","57"
"84","130050","2021","85"
"85","130060","2021","123"
"86","130063","2021","52"
"87","130068","2021","20"
"88","130070","2021","72"
"89","130080","2021","66"
"90","130083","2021","15"
"91","130090","2021","11"
"92","130100","2021","44"
"93","130110","2021","61"
"94","130115","2021","27"
"95","130120","2021","129"
"96","130130","2021","37"
"97","130140","2021","69"
"98","130150","2021","32"
"99","130160","2021","50"
"100","130165","2021","52"
"101","130170","2021","86"
"102","130180","2021","43"
"103","130185","2021","93"
"104","130190","2021","229"
"105","130195","2021","38"
"106","130200","2021","17"
"107","130210","2021","14"
"108","130220","2021","15"
"109","130230","2021","61"
"110","130240","2021","73"
"111","130250","2021","218"
"112","130255","2021","24"
"113","130260","2021","5350"
"114","130270","2021","70"
"115","130280","2021","35"
"116","130290","2021","159"
"117","130300","2021","30"
"118","130310","2021","65"
"119","130320","2021","27"
"120","130330","2021","41"
"121","130340","2021","199"
"122","130350","2021","26"
"123","130353","2021","67"
"124","130356","2021","41"
"125","130360","2021","47"
"126","130370","2021","65"
"127","130380","2021","177"
"128","130390","2021","97"
"129","130395","2021","13"
"130","130400","2021","17"
"131","130406","2021","206"
"132","130410","2021","32"
"133","130420","2021","153"
"134","130423","2021","30"
"135","130426","2021","23"
"136","130430","2021","23"
"137","130440","2021","36"
"138","140002","2021","47"
"139","140005","2021","96"
"140","140010","2021","982"
"141","140015","2021","45"
"142","140017","2021","68"
"143","140020","2021","39"
"144","140023","2021","18"
"145","140028","2021","12"
"146","140030","2021","39"
"147","140040","2021","49"
"148","140045","2021","54"
"149","140047","2021","49"
"150","140050","2021","16"
"151","140060","2021","10"
"152","140070","2021","76"
"153","150010","2021","233"
"154","150013","2021","7"
"155","150020","2021","66"
"156","150030","2021","112"
"157","150034","2021","20"
"158","150040","2021","116"
"159","150050","2021","56"
"160","150060","2021","207"
"161","150070","2021","72"
"162","150080","2021","949"
"163","150085","2021","43"
"164","150090","2021","68"
"165","150095","2021","37"
"166","150100","2021","20"
"167","150110","2021","55"
"168","150120","2021","37"
"169","150125","2021","3"
"170","150130","2021","222"
"171","150140","2021","2681"
"172","150145","2021","35"
"173","150150","2021","84"
"174","150157","2021","24"
"175","150160","2021","18"
"176","150170","2021","201"
"177","150172","2021","22"
"178","150175","2021","6"
"179","150178","2021","52"
"180","150180","2021","357"
"181","150190","2021","29"
"182","150195","2021","20"
"183","150200","2021","25"
"184","150210","2021","200"
"185","150215","2021","118"
"186","150220","2021","100"
"187","150230","2021","83"
"188","150240","2021","395"
"189","150250","2021","39"
"190","150260","2021","10"
"191","150270","2021","58"
"192","150275","2021","56"
"193","150276","2021","14"
"194","150277","2021","34"
"195","150280","2021","40"
"196","150285","2021","24"
"197","150290","2021","42"
"198","150293","2021","61"
"199","150295","2021","38"
"200","150300","2021","7"
"201","150304","2021","17"
"202","150307","2021","19"
"203","150309","2021","39"
"204","150310","2021","73"
"205","150320","2021","47"
"206","150330","2021","80"
"207","150340","2021","12"
"208","150345","2021","44"
"209","150350","2021","39"
"210","150360","2021","215"
"211","150370","2021","54"
"212","150375","2021","58"
"213","150380","2021","55"
"214","150390","2021","126"
"215","150400","2021","14"
"216","150405","2021","47"
"217","150410","2021","8"
"218","150420","2021","547"
"219","150430","2021","37"
"220","150440","2021","26"
"221","150442","2021","167"
"222","150445","2021","32"
"223","150450","2021","71"
"224","150460","2021","33"
"225","150470","2021","97"
"226","150475","2021","35"
"227","150480","2021","108"
"228","150490","2021","39"
"229","150495","2021","23"
"230","150497","2021","18"
"231","150500","2021","9"
"232","150503","2021","70"
"233","150506","2021","68"
"234","150510","2021","100"
"235","150520","2021","56"
"236","150530","2021","160"
"237","150540","2021","16"
"238","150543","2021","42"
"239","150548","2021","48"
"240","150549","2021","8"
"241","150550","2021","185"
"242","150553","2021","648"
"243","150555","2021","6"
"244","150560","2021","6"
"245","150563","2021","10"
"246","150565","2021","26"
"247","150570","2021","30"
"248","150580","2021","177"
"249","150590","2021","43"
"250","150600","2021","62"
"251","150610","2021","13"
"252","150611","2021","5"
"253","150613","2021","149"
"254","150616","2021","21"
"255","150618","2021","45"
"256","150619","2021","43"
"257","150620","2021","57"
"258","150630","2021","17"
"259","150635","2021","26"
"260","150640","2021","3"
"261","150650","2021","69"
"262","150655","2021","16"
"263","150658","2021","13"
"264","150660","2021","35"
"265","150670","2021","53"
"266","150680","2021","950"
"267","150690","2021","10"
"268","150700","2021","30"
"269","150710","2021","17"
"270","150715","2021","28"
"271","150720","2021","39"
"272","150730","2021","82"
"273","150740","2021","25"
"274","150745","2021","51"
"275","150746","2021","12"
"276","150747","2021","17"
"277","150750","2021","21"
"278","150760","2021","73"
"279","150770","2021","29"
"280","150775","2021","6"
"281","150780","2021","21"
"282","150790","2021","32"
"283","150795","2021","112"
"284","150796","2021","10"
"285","150797","2021","17"
"286","150800","2021","124"
"287","150803","2021","32"
"288","150805","2021","17"
"289","150808","2021","68"
"290","150810","2021","174"
"291","150812","2021","28"
"292","150815","2021","71"
"293","150820","2021","50"
"294","150830","2021","78"
"295","150835","2021","29"
"296","150840","2021","80"
"297","160005","2021","8"
"298","160010","2021","17"
"299","160015","2021","45"
"300","160020","2021","25"
"301","160021","2021","18"
"302","160023","2021","14"
"303","160025","2021","26"
"304","160027","2021","59"
"305","160030","2021","1262"
"306","160040","2021","66"
"307","160050","2021","73"
"308","160053","2021","39"
"309","160055","2021","9"
"310","160060","2021","320"
"311","160070","2021","38"
"312","160080","2021","26"
"313","170025","2021","3"
"314","170030","2021","9"
"315","170035","2021","6"
"316","170040","2021","7"
"317","170070","2021","16"
"318","170100","2021","17"
"319","170105","2021","4"
"320","170110","2021","9"
"321","170130","2021","10"
"322","170190","2021","11"
"323","170200","2021","8"
"324","170210","2021","448"
"325","170215","2021","2"
"326","170220","2021","46"
"327","170230","2021","6"
"328","170240","2021","15"
"329","170255","2021","32"
"330","170270","2021","3"
"331","170290","2021","23"
"332","170300","2021","7"
"333","170305","2021","7"
"334","170307","2021","5"
"335","170310","2021","5"
"336","170320","2021","4"
"337","170330","2021","13"
"338","170360","2021","4"
"339","170370","2021","10"
"340","170380","2021","8"
"341","170382","2021","5"
"342","170384","2021","11"
"343","170386","2021","3"
"344","170388","2021","4"
"345","170389","2021","8"
"346","170390","2021","6"
"347","170410","2021","2"
"348","170460","2021","1"
"349","170510","2021","3"
"350","170550","2021","68"
"351","170555","2021","6"
"352","170560","2021","10"
"353","170600","2021","8"
"354","170610","2021","11"
"355","170625","2021","2"
"356","170650","2021","10"
"357","170700","2021","47"
"358","170710","2021","10"
"359","170720","2021","6"
"360","170730","2021","7"
"361","170740","2021","12"
"362","170755","2021","7"
"363","170765","2021","10"
"364","170770","2021","8"
"365","170820","2021","21"
"366","170825","2021","6"
"367","170830","2021","8"
"368","170900","2021","28"
"369","170930","2021","33"
"370","170950","2021","177"
"371","170980","2021","3"
"372","171050","2021","14"
"373","171070","2021","5"
"374","171090","2021","4"
"375","171110","2021","3"
"376","171150","2021","5"
"377","171180","2021","4"
"378","171190","2021","25"
"379","171195","2021","8"
"380","171200","2021","5"
"381","171215","2021","3"
"382","171240","2021","7"
"383","171245","2021","5"
"384","171250","2021","4"
"385","171270","2021","3"
"386","171280","2021","1"
"387","171320","2021","31"
"388","171330","2021","17"
"389","171360","2021","14"
"390","171370","2021","5"
"391","171380","2021","4"
"392","171395","2021","3"
"393","171420","2021","16"
"394","171430","2021","8"
"395","171488","2021","11"
"396","171500","2021","7"
"397","171510","2021","9"
"398","171515","2021","5"
"399","171525","2021","6"
"400","171550","2021","3"
"401","171570","2021","4"
"402","171575","2021","9"
"403","171610","2021","110"
"404","171620","2021","16"
"405","171630","2021","3"
"406","171650","2021","30"
"407","171660","2021","9"
"408","171665","2021","8"
"409","171670","2021","6"
"410","171700","2021","6"
"411","171720","2021","2"
"412","171750","2021","7"
"413","171780","2021","2"
"414","171790","2021","25"
"415","171800","2021","4"
"416","171820","2021","141"
"417","171830","2021","8"
"418","171840","2021","5"
