"","codigo","ano","MULHERES_COM_MAIS_3_PARTOS"
"1","110001","2021","8"
"2","110002","2021","32"
"3","110003","2021","1"
"4","110004","2021","29"
"5","110006","2021","1"
"6","110007","2021","1"
"7","110008","2021","14"
"8","110009","2021","19"
"9","110010","2021","91"
"10","110011","2021","12"
"11","110012","2021","43"
"12","110013","2021","15"
"13","110014","2021","1"
"14","110015","2021","5"
"15","110018","2021","3"
"16","110020","2021","298"
"17","110025","2021","2"
"18","110026","2021","1"
"19","110028","2021","3"
"20","110030","2021","32"
"21","110032","2021","2"
"22","110033","2021","20"
"23","110034","2021","7"
"24","110037","2021","1"
"25","110040","2021","10"
"26","110045","2021","13"
"27","110050","2021","1"
"28","110060","2021","2"
"29","110070","2021","4"
"30","110080","2021","13"
"31","110092","2021","4"
"32","110094","2021","12"
"33","110100","2021","3"
"34","110110","2021","4"
"35","110130","2021","4"
"36","110140","2021","3"
"37","110143","2021","1"
"38","110148","2021","1"
"39","110149","2021","4"
"40","110150","2021","4"
"41","110160","2021","2"
"42","110170","2021","1"
"43","110175","2021","1"
"44","110180","2021","2"
"45","120001","2021","20"
"46","120005","2021","63"
"47","120010","2021","31"
"48","120013","2021","23"
"49","120017","2021","25"
"50","120020","2021","158"
"51","120025","2021","18"
"52","120030","2021","169"
"53","120032","2021","78"
"54","120033","2021","35"
"55","120034","2021","64"
"56","120035","2021","86"
"57","120038","2021","27"
"58","120039","2021","59"
"59","120040","2021","338"
"60","120042","2021","44"
"61","120043","2021","55"
"62","120045","2021","28"
"63","120050","2021","84"
"64","120060","2021","173"
"65","120070","2021","29"
"66","120080","2021","30"
"67","130000","2021","1"
"68","130002","2021","54"
"69","130006","2021","54"
"70","130008","2021","21"
"71","130010","2021","28"
"72","130014","2021","13"
"73","130020","2021","69"
"74","130030","2021","144"
"75","130040","2021","76"
"76","130050","2021","192"
"77","130060","2021","204"
"78","130063","2021","112"
"79","130068","2021","29"
"80","130070","2021","73"
"81","130080","2021","113"
"82","130083","2021","24"
"83","130090","2021","13"
"84","130100","2021","73"
"85","130110","2021","95"
"86","130115","2021","28"
"87","130120","2021","189"
"88","130130","2021","73"
"89","130140","2021","138"
"90","130150","2021","58"
"91","130160","2021","94"
"92","130165","2021","46"
"93","130170","2021","91"
"94","130180","2021","64"
"95","130185","2021","83"
"96","130190","2021","252"
"97","130195","2021","57"
"98","130200","2021","19"
"99","130210","2021","35"
"100","130220","2021","17"
"101","130230","2021","125"
"102","130240","2021","91"
"103","130250","2021","245"
"104","130255","2021","28"
"105","130260","2021","2483"
"106","130270","2021","123"
"107","130280","2021","81"
"108","130290","2021","275"
"109","130300","2021","40"
"110","130310","2021","107"
"111","130320","2021","41"
"112","130330","2021","46"
"113","130340","2021","249"
"114","130350","2021","76"
"115","130353","2021","64"
"116","130356","2021","55"
"117","130360","2021","78"
"118","130370","2021","140"
"119","130380","2021","302"
"120","130390","2021","224"
"121","130395","2021","17"
"122","130400","2021","25"
"123","130406","2021","319"
"124","130410","2021","56"
"125","130420","2021","276"
"126","130423","2021","74"
"127","130426","2021","43"
"128","130430","2021","23"
"129","130440","2021","46"
"130","140002","2021","125"
"131","140005","2021","181"
"132","140010","2021","611"
"133","140015","2021","118"
"134","140017","2021","110"
"135","140020","2021","66"
"136","140023","2021","17"
"137","140028","2021","19"
"138","140030","2021","54"
"139","140040","2021","142"
"140","140045","2021","112"
"141","140047","2021","45"
"142","140050","2021","9"
"143","140060","2021","6"
"144","140070","2021","269"
"145","150010","2021","84"
"146","150013","2021","4"
"147","150020","2021","75"
"148","150030","2021","175"
"149","150034","2021","9"
"150","150040","2021","129"
"151","150050","2021","101"
"152","150060","2021","102"
"153","150070","2021","145"
"154","150080","2021","95"
"155","150085","2021","45"
"156","150090","2021","96"
"157","150095","2021","28"
"158","150100","2021","23"
"159","150110","2021","106"
"160","150120","2021","52"
"161","150130","2021","87"
"162","150140","2021","343"
"163","150145","2021","35"
"164","150150","2021","33"
"165","150157","2021","23"
"166","150160","2021","4"
"167","150170","2021","127"
"168","150172","2021","15"
"169","150175","2021","4"
"170","150178","2021","25"
"171","150180","2021","562"
"172","150190","2021","26"
"173","150195","2021","25"
"174","150200","2021","23"
"175","150210","2021","167"
