"","codigo","ano","nvm_com_escolaridade_ate_3"
"1",110001,2021,2
"2",110002,2021,5
"3",110003,2021,1
"4",110004,2021,9
"5",110005,2021,2
"6",110006,2021,1
"7",110007,2021,5
"8",110008,2021,3
"9",110009,2021,11
"10",110010,2021,12
"11",110011,2021,11
"12",110012,2021,14
"13",110013,2021,24
"14",110014,2021,2
"15",110015,2021,10
"16",110018,2021,2
"17",110020,2021,150
"18",110026,2021,1
"19",110028,2021,6
"20",110030,2021,12
"21",110032,2021,4
"22",110033,2021,8
"23",110034,2021,1
"24",110040,2021,5
"25",110045,2021,14
"26",110070,2021,3
"27",110080,2021,6
"28",110092,2021,2
"29",110094,2021,6
"30",110110,2021,2
"31",110130,2021,1
"32",110140,2021,1
"33",110145,2021,1
"34",110148,2021,1
"35",110149,2021,7
"36",110160,2021,4
"37",110170,2021,4
"38",110175,2021,1
"39",110180,2021,1
"40",120001,2021,17
"41",120005,2021,85
"42",120010,2021,42
"43",120013,2021,16
"44",120017,2021,22
"45",120020,2021,182
"46",120025,2021,35
"47",120030,2021,198
"48",120032,2021,45
"49",120033,2021,41
"50",120034,2021,68
"51",120035,2021,81
"52",120038,2021,22
"53",120039,2021,42
"54",120040,2021,227
"55",120042,2021,56
"56",120043,2021,32
"57",120045,2021,11
"58",120050,2021,93
"59",120060,2021,146
"60",120070,2021,41
"61",120080,2021,31
"62",130002,2021,15
"63",130006,2021,21
"64",130008,2021,3
"65",130010,2021,11
"66",130014,2021,3
"67",130020,2021,81
"68",130030,2021,22
"69",130040,2021,188
"70",130050,2021,60
"71",130060,2021,57
"72",130063,2021,42
"73",130068,2021,4
"74",130070,2021,62
"75",130080,2021,41
"76",130083,2021,6
"77",130090,2021,11
"78",130100,2021,32
"79",130110,2021,31
"80",130115,2021,5
"81",130120,2021,59
"82",130130,2021,28
"83",130140,2021,160
"84",130150,2021,71
"85",130160,2021,43
"86",130165,2021,55
"87",130170,2021,65
"88",130180,2021,74
"89",130185,2021,13
"90",130190,2021,46
"91",130195,2021,65
"92",130210,2021,6
"93",130220,2021,29
"94",130230,2021,138
"95",130240,2021,59
"96",130250,2021,55
"97",130255,2021,5
"98",130260,2021,383
"99",130270,2021,49
"100",130280,2021,19
"101",130290,2021,72
"102",130300,2021,4
"103",130310,2021,21
"104",130320,2021,16
"105",130330,2021,9
"106",130340,2021,19
"107",130350,2021,60
"108",130353,2021,12
"109",130356,2021,16
"110",130360,2021,128
"111",130370,2021,36
"112",130380,2021,152
"113",130390,2021,77
"114",130395,2021,1
"115",130400,2021,3
"116",130406,2021,115
"117",130410,2021,88
"118",130420,2021,60
"119",130423,2021,26
"120",130426,2021,21
"121",130430,2021,4
"122",130440,2021,8
"123",140002,2021,204
"124",140005,2021,479
"125",140010,2021,294
"126",140015,2021,36
"127",140017,2021,22
"128",140020,2021,69
"129",140023,2021,3
"130",140028,2021,32
"131",140030,2021,38
"132",140040,2021,28
"133",140045,2021,41
"134",140047,2021,8
"135",140050,2021,5
"136",140070,2021,116
"137",150010,2021,69
"138",150013,2021,4
"139",150020,2021,57
"140",150030,2021,101
"141",150034,2021,14
"142",150040,2021,56
"143",150050,2021,49
"144",150060,2021,114
"145",150070,2021,76
"146",150080,2021,119
"147",150085,2021,40
"148",150090,2021,38
"149",150095,2021,24
"150",150100,2021,2
"151",150110,2021,88
"152",150120,2021,30
"153",150125,2021,3
"154",150130,2021,53
"155",150140,2021,424
"156",150145,2021,8
"157",150150,2021,23
"158",150157,2021,9
"159",150160,2021,10
"160",150170,2021,67
"161",150172,2021,6
"162",150175,2021,4
"163",150178,2021,22
"164",150180,2021,451
"165",150190,2021,18
"166",150195,2021,19
"167",150200,2021,9
"168",150210,2021,87
"169",150215,2021,28
"170",150220,2021,34
"171",150230,2021,38
"172",150240,2021,47
"173",150250,2021,65
"174",150260,2021,5
"175",150270,2021,18
"176",150275,2021,21
"177",150276,2021,44
"178",150277,2021,9
"179",150280,2021,52
"180",150285,2021,8
"181",150290,2021,20
"182",150293,2021,34
"183",150295,2021,17
"184",150300,2021,1
"185",150304,2021,5
"186",150307,2021,26
"187",150309,2021,31
"188",150310,2021,83
"189",150320,2021,11
"190",150330,2021,58
"191",150340,2021,4
"192",150345,2021,36
"193",150350,2021,22
"194",150360,2021,59
"195",150370,2021,28
"196",150375,2021,43
"197",150380,2021,22
"198",150390,2021,26
"199",150400,2021,21
"200",150405,2021,30
"201",150410,2021,1
"202",150420,2021,86
"203",150430,2021,15
