"","codigo","ano","nvm_com_cor_da_pele_preta"
"1","110001","2021","11"
"2","110002","2021","92"
"3","110003","2021","1"
"4","110004","2021","72"
"5","110005","2021","13"
"6","110006","2021","13"
"7","110007","2021","8"
"8","110008","2021","6"
"9","110009","2021","18"
"10","110010","2021","3"
"11","110011","2021","39"
"12","110012","2021","75"
"13","110013","2021","14"
"14","110014","2021","5"
"15","110015","2021","23"
"16","110018","2021","22"
"17","110020","2021","171"
"18","110025","2021","5"
"19","110026","2021","4"
"20","110028","2021","34"
"21","110029","2021","4"
"22","110030","2021","92"
"23","110032","2021","11"
"24","110033","2021","9"
"25","110034","2021","2"
"26","110037","2021","4"
"27","110040","2021","16"
"28","110045","2021","24"
"29","110050","2021","6"
"30","110060","2021","1"
"31","110070","2021","2"
"32","110080","2021","3"
"33","110090","2021","1"
"34","110092","2021","12"
"35","110094","2021","14"
"36","110100","2021","5"
"37","110110","2021","7"
"38","110120","2021","2"
"39","110130","2021","3"
"40","110140","2021","9"
"41","110143","2021","6"
"42","110145","2021","2"
"43","110146","2021","4"
"44","110147","2021","1"
"45","110148","2021","2"
"46","110149","2021","19"
"47","110150","2021","4"
"48","110155","2021","2"
"49","110160","2021","3"
"50","110170","2021","3"
"51","110175","2021","2"
"52","110180","2021","8"
"53","120001","2021","7"
"54","120005","2021","1"
"55","120010","2021","2"
"56","120013","2021","4"
"57","120017","2021","1"
"58","120020","2021","2"
"59","120025","2021","2"
"60","120030","2021","27"
"61","120032","2021","5"
"62","120033","2021","1"
"63","120034","2021","1"
"64","120035","2021","4"
"65","120038","2021","3"
"66","120039","2021","5"
"67","120040","2021","118"
"68","120043","2021","1"
"69","120045","2021","4"
"70","120050","2021","3"
"71","120060","2021","10"
"72","120070","2021","4"
"73","120080","2021","6"
"74","130002","2021","2"
"75","130006","2021","2"
"76","130008","2021","4"
"77","130014","2021","12"
"78","130020","2021","1"
"79","130030","2021","10"
"80","130040","2021","2"
"81","130050","2021","18"
"82","130060","2021","1"
"83","130063","2021","2"
"84","130070","2021","5"
"85","130080","2021","3"
"86","130090","2021","13"
"87","130100","2021","6"
"88","130110","2021","3"
"89","130115","2021","4"
"90","130130","2021","1"
"91","130140","2021","16"
"92","130160","2021","2"
"93","130170","2021","13"
"94","130180","2021","15"
"95","130185","2021","20"
"96","130190","2021","2"
"97","130195","2021","1"
"98","130200","2021","1"
"99","130210","2021","1"
"100","130220","2021","5"
"101","130230","2021","1"
"102","130240","2021","2"
"103","130250","2021","8"
"104","130255","2021","3"
"105","130260","2021","563"
"106","130270","2021","3"
"107","130280","2021","2"
"108","130290","2021","2"
"109","130320","2021","4"
"110","130340","2021","3"
"111","130350","2021","6"
"112","130353","2021","22"
"113","130356","2021","15"
"114","130380","2021","2"
"115","130406","2021","14"
"116","130420","2021","2"
"117","140002","2021","3"
"118","140005","2021","8"
"119","140010","2021","313"
"120","140015","2021","6"
"121","140017","2021","6"
"122","140020","2021","7"
"123","140023","2021","8"
"124","140028","2021","3"
"125","140030","2021","8"
"126","140040","2021","1"
"127","140045","2021","1"
"128","140047","2021","20"
"129","140050","2021","8"
"130","140060","2021","4"
"131","150010","2021","51"
"132","150013","2021","3"
"133","150020","2021","41"
"134","150030","2021","21"
"135","150034","2021","17"
"136","150040","2021","8"
"137","150050","2021","11"
"138","150060","2021","150"
"139","150080","2021","179"
"140","150085","2021","14"
"141","150095","2021","6"
"142","150100","2021","2"
"143","150110","2021","13"
"144","150120","2021","17"
"145","150125","2021","2"
"146","150130","2021","55"
"147","150140","2021","469"
"148","150145","2021","2"
"149","150150","2021","16"
"150","150157","2021","4"
"151","150160","2021","1"
"152","150170","2021","2"
"153","150172","2021","23"
"154","150175","2021","2"
"155","150178","2021","17"
"156","150180","2021","13"
"157","150190","2021","15"
"158","150195","2021","9"
"159","150200","2021","6"
"160","150210","2021","14"
"161","150215","2021","56"
"162","150220","2021","5"
"163","150230","2021","2"
"164","150240","2021","26"
"165","150250","2021","41"
"166","150270","2021","27"
"167","150275","2021","27"
"168","150276","2021","2"
"169","150277","2021","23"
"170","150280","2021","22"
"171","150285","2021","3"
"172","150290","2021","5"
"173","150293","2021","23"
"174","150295","2021","26"
"175","150304","2021","9"
"176","150307","2021","5"
"177","150309","2021","25"
"178","150320","2021","8"
"179","150330","2021","48"
"180","150340","2021","5"
"181","150345","2021","16"
"182","150350","2021","8"
"183","150360","2021","74"
"184","150370","2021","82"
"185","150375","2021","11"
"186","150380","2021","17"
"187","150390","2021","3"
"188","150405","2021","7"
"189","150420","2021","150"
"190","150430","2021","3"
"191","150440","2021","5"
"192","150442","2021","34"
"193","150445","2021","23"
"194","150450","2021","30"
"195","150460","2021","7"
"196","150470","2021","31"
"197","150475","2021","3"
"198","150480","2021","12"
"199","150495","2021","1"
"200","150497","2021","6"
"201","150503","2021","31"
"202","150506","2021","26"
"203","150510","2021","12"
"204","150520","2021","9"
"205","150530","2021","154"
"206","150540","2021","10"
"207","150543","2021","34"
"208","150548","2021","24"
"209","150549","2021","3"
"210","150550","2021","2"
"211","150553","2021","223"
"212","150555","2021","7"
"213","150560","2021","1"
"214","150563","2021","7"
"215","150565","2021","7"
"216","150570","2021","5"
"217","150580","2021","17"
"218","150590","2021","4"
"219","150600","2021","7"
"220","150610","2021","6"
"221","150611","2021","1"
"222","150613","2021","55"
"223","150616","2021","15"
"224","150618","2021","24"
"225","150619","2021","1"
"226","150620","2021","1"
"227","150630","2021","15"
"228","150635","2021","7"
"229","150640","2021","3"
"230","150650","2021","22"
"231","150655","2021","2"
"232","150658","2021","9"
"233","150660","2021","2"
"234","150670","2021","22"
"235","150680","2021","93"
"236","150690","2021","1"
"237","150700","2021","2"
"238","150710","2021","1"
"239","150715","2021","9"
"240","150720","2021","17"
"241","150730","2021","18"
"242","150740","2021","1"
"243","150745","2021","21"
"244","150747","2021","2"
"245","150750","2021","5"
"246","150760","2021","22"
"247","150770","2021","3"
"248","150775","2021","4"
"249","150780","2021","9"
"250","150790","2021","4"
"251","150795","2021","13"
"252","150796","2021","1"
"253","150797","2021","2"
"254","150800","2021","29"
"255","150805","2021","8"
"256","150808","2021","57"
"257","150810","2021","65"
"258","150812","2021","28"
"259","150815","2021","14"
"260","150820","2021","6"
"261","150830","2021","11"
"262","150835","2021","9"
"263","150840","2021","35"
"264","160005","2021","3"
"265","160010","2021","16"
"266","160015","2021","18"
"267","160020","2021","11"
"268","160021","2021","8"
"269","160023","2021","16"
"270","160025","2021","13"
"271","160027","2021","66"
"272","160030","2021","665"
"273","160040","2021","35"
"274","160050","2021","30"
"275","160053","2021","25"
"276","160055","2021","10"
"277","160060","2021","77"
"278","160070","2021","20"
"279","160080","2021","21"
"280","170030","2021","6"
"281","170035","2021","7"
"282","170040","2021","23"
"283","170070","2021","8"
"284","170100","2021","16"
"285","170105","2021","5"
"286","170110","2021","4"
"287","170130","2021","5"
"288","170190","2021","5"
"289","170200","2021","7"
"290","170210","2021","219"
"291","170215","2021","5"
"292","170220","2021","28"
"293","170230","2021","10"
"294","170240","2021","40"
"295","170255","2021","16"
"296","170270","2021","2"
"297","170290","2021","7"
"298","170300","2021","5"
"299","170305","2021","2"
"300","170307","2021","4"
"301","170310","2021","3"
"302","170320","2021","2"
"303","170330","2021","1"
"304","170360","2021","3"
"305","170370","2021","10"
"306","170380","2021","7"
"307","170384","2021","7"
"308","170386","2021","4"
"309","170388","2021","4"
"310","170390","2021","1"
"311","170410","2021","2"
"312","170460","2021","1"
"313","170510","2021","7"
"314","170550","2021","32"
"315","170555","2021","4"
"316","170560","2021","18"
"317","170600","2021","3"
"318","170610","2021","8"
"319","170650","2021","8"
"320","170700","2021","35"
"321","170710","2021","3"
"322","170720","2021","1"
"323","170730","2021","3"
"324","170740","2021","9"
"325","170755","2021","3"
"326","170765","2021","4"
"327","170770","2021","8"
"328","170820","2021","21"
"329","170900","2021","8"
"330","170930","2021","3"
"331","170950","2021","113"
"332","170980","2021","3"
"333","171050","2021","3"
"334","171090","2021","1"
"335","171110","2021","1"
"336","171150","2021","4"
"337","171190","2021","18"
"338","171195","2021","12"
"339","171200","2021","6"
"340","171215","2021","2"
"341","171240","2021","1"
"342","171245","2021","1"
"343","171250","2021","2"
"344","171270","2021","3"
"345","171320","2021","13"
"346","171330","2021","8"
"347","171360","2021","9"
"348","171380","2021","8"
"349","171395","2021","3"
"350","171420","2021","17"
"351","171430","2021","4"
"352","171488","2021","7"
"353","171500","2021","4"
"354","171510","2021","9"
"355","171515","2021","2"
"356","171525","2021","4"
"357","171550","2021","1"
"358","171570","2021","2"
"359","171575","2021","12"
"360","171610","2021","23"
"361","171620","2021","33"
"362","171630","2021","5"
"363","171650","2021","8"
"364","171660","2021","15"
"365","171665","2021","1"
"366","171670","2021","1"
"367","171700","2021","3"
"368","171720","2021","6"
"369","171750","2021","6"
"370","171780","2021","5"
"371","171790","2021","14"
"372","171800","2021","10"
"373","171820","2021","111"
"374","171830","2021","4"
"375","171840","2021","4"
"376","171845","2021","2"
"377","171850","2021","1"
"378","171855","2021","1"
"379","171865","2021","5"
"380","171870","2021","1"
"381","171875","2021","3"
"382","171880","2021","9"
"383","171884","2021","3"
"384","171886","2021","11"
"385","171889","2021","3"
"386","171890","2021","19"
"387","171900","2021","9"
"388","172000","2021","3"
"389","172010","2021","3"
"390","172015","2021","4"
"391","172020","2021","4"
"392","172025","2021","3"
"393","172030","2021","3"
"394","172049","2021","4"
"395","172065","2021","5"
"396","172080","2021","5"
"397","172085","2021","2"
"398","172090","2021","21"
"399","172093","2021","5"
"400","172097","2021","2"
"401","172100","2021","498"
"402","172110","2021","2"
"403","172120","2021","35"
"404","172125","2021","1"
"405","172208","2021","13"
"406","172210","2021","14"
"407","210005","2021","31"
"408","210010","2021","2"
"409","210015","2021","2"
"410","210020","2021","27"
"411","210030","2021","12"
"412","210043","2021","7"
"413","210047","2021","16"
"414","210050","2021","11"
"415","210055","2021","3"
"416","210060","2021","6"
"417","210070","2021","10"
"418","210080","2021","1"
"419","210083","2021","53"
"420","210087","2021","7"
"421","210090","2021","6"
"422","210095","2021","12"
"423","210100","2021","3"
"424","210110","2021","4"
"425","210120","2021","182"
"426","210125","2021","2"
"427","210130","2021","105"
"428","210135","2021","7"
"429","210140","2021","119"
"430","210150","2021","32"
"431","210160","2021","20"
"432","210170","2021","3"
"433","210173","2021","1"
"434","210177","2021","3"
"435","210180","2021","1"
"436","210190","2021","11"
"437","210200","2021","31"
"438","210203","2021","8"
"439","210210","2021","2"
"440","210215","2021","2"
"441","210220","2021","10"
"442","210230","2021","20"
"443","210232","2021","21"
"444","210235","2021","1"
"445","210237","2021","1"
"446","210240","2021","17"
"447","210250","2021","25"
"448","210255","2021","7"
"449","210260","2021","11"
"450","210270","2021","8"
"451","210275","2021","3"
"452","210280","2021","11"
"453","210290","2021","2"
"454","210300","2021","60"
"455","210310","2021","12"
"456","210312","2021","43"
"457","210315","2021","9"
"458","210317","2021","1"
"459","210320","2021","11"
"460","210325","2021","1"
"461","210330","2021","69"
"462","210340","2021","22"
"463","210350","2021","41"
"464","210355","2021","16"
"465","210360","2021","6"
"466","210370","2021","224"
"467","210380","2021","5"
"468","210390","2021","3"
"469","210400","2021","5"
"470","210405","2021","14"
"471","210407","2021","4"
"472","210409","2021","13"
"473","210410","2021","12"
"474","210420","2021","13"
"475","210430","2021","2"
"476","210440","2021","20"
"477","210450","2021","29"
"478","210455","2021","1"
"479","210460","2021","26"
"480","210462","2021","3"
"481","210465","2021","2"
"482","210467","2021","3"
"483","210470","2021","4"
"484","210480","2021","13"
"485","210490","2021","13"
"486","210500","2021","3"
"487","210510","2021","22"
"488","210515","2021","20"
"489","210530","2021","50"
"490","210535","2021","2"
"491","210540","2021","61"
"492","210542","2021","11"
"493","210545","2021","7"
"494","210547","2021","2"
"495","210550","2021","4"
"496","210560","2021","7"
"497","210565","2021","1"
"498","210570","2021","6"
"499","210580","2021","2"
"500","210590","2021","12"
"501","210592","2021","6"
"502","210596","2021","23"
"503","210598","2021","3"
"504","210600","2021","20"
"505","210610","2021","11"
"506","210620","2021","2"
"507","210630","2021","2"
"508","210632","2021","15"
"509","210635","2021","1"
"510","210637","2021","5"
"511","210640","2021","4"
"512","210650","2021","12"
"513","210660","2021","33"
"514","210663","2021","7"
"515","210667","2021","1"
"516","210670","2021","6"
"517","210675","2021","8"
"518","210680","2021","32"
"519","210690","2021","27"
"520","210700","2021","1"
"521","210710","2021","2"
"522","210720","2021","5"
"523","210725","2021","5"
"524","210730","2021","5"
"525","210735","2021","9"
"526","210740","2021","2"
"527","210745","2021","4"
"528","210750","2021","100"
"529","210760","2021","42"
"530","210770","2021","16"
"531","210780","2021","57"
"532","210790","2021","4"
"533","210800","2021","13"
"534","210805","2021","2"
"535","210810","2021","10"
"536","210820","2021","20"
"537","210825","2021","40"
"538","210830","2021","17"
"539","210840","2021","9"
"540","210845","2021","13"
"541","210850","2021","35"
"542","210860","2021","53"
"543","210870","2021","16"
"544","210880","2021","18"
"545","210890","2021","3"
"546","210900","2021","5"
"547","210905","2021","9"
"548","210910","2021","43"
"549","210920","2021","10"
"550","210923","2021","5"
"551","210927","2021","11"
"552","210930","2021","9"
"553","210940","2021","3"
"554","210945","2021","22"
"555","210950","2021","40"
"556","210955","2021","2"
"557","210960","2021","17"
"558","210970","2021","4"
"559","210975","2021","3"
"560","210980","2021","30"
"561","210990","2021","46"
"562","211000","2021","20"
"563","211003","2021","10"
"564","211010","2021","5"
"565","211020","2021","18"
"566","211030","2021","4"
"567","211040","2021","3"
"568","211050","2021","86"
"569","211060","2021","3"
"570","211065","2021","9"
"571","211070","2021","22"
"572","211080","2021","8"
"573","211085","2021","2"
"574","211090","2021","14"
"575","211100","2021","12"
"576","211102","2021","11"
"577","211105","2021","4"
"578","211107","2021","14"
"579","211110","2021","26"
"580","211120","2021","218"
"581","211125","2021","2"
"582","211130","2021","1198"
"583","211140","2021","27"
"584","211150","2021","22"
"585","211153","2021","5"
"586","211160","2021","21"
"587","211163","2021","1"
"588","211170","2021","20"
"589","211172","2021","5"
"590","211174","2021","24"
"591","211176","2021","4"
"592","211178","2021","90"
"593","211180","2021","6"
"594","211190","2021","9"
"595","211195","2021","4"
"596","211200","2021","7"
"597","211210","2021","13"
"598","211220","2021","306"
"599","211223","2021","19"
"600","211227","2021","1"
"601","211230","2021","7"
"602","211240","2021","47"
"603","211245","2021","26"
"604","211250","2021","13"
"605","211260","2021","2"
"606","211270","2021","7"
"607","211280","2021","58"
"608","211285","2021","5"
"609","211290","2021","7"
"610","211300","2021","5"
"611","211400","2021","18"
"612","220005","2021","2"
"613","220010","2021","3"
"614","220020","2021","6"
"615","220030","2021","1"
"616","220040","2021","18"
"617","220045","2021","6"
"618","220050","2021","37"
"619","220060","2021","7"
"620","220070","2021","3"
"621","220080","2021","2"
"622","220100","2021","9"
"623","220105","2021","1"
"624","220110","2021","1"
"625","220115","2021","16"
"626","220120","2021","16"
"627","220130","2021","2"
"628","220140","2021","9"
"629","220150","2021","2"
"630","220155","2021","2"
"631","220160","2021","4"
"632","220170","2021","6"
"633","220173","2021","5"
"634","220177","2021","1"
"635","220190","2021","19"
"636","220191","2021","1"
"637","220192","2021","2"
"638","220196","2021","2"
"639","220200","2021","5"
"640","220202","2021","2"
"641","220207","2021","3"
"642","220208","2021","4"
"643","220210","2021","4"
"644","220211","2021","8"
"645","220217","2021","4"
"646","220220","2021","2"
"647","220225","2021","3"
"648","220230","2021","17"
"649","220245","2021","2"
"650","220250","2021","4"
"651","220253","2021","1"
"652","220260","2021","5"
"653","220265","2021","1"
"654","220270","2021","4"
"655","220271","2021","1"
"656","220273","2021","1"
"657","220275","2021","7"
"658","220277","2021","1"
"659","220280","2021","2"
"660","220290","2021","18"
"661","220300","2021","4"
"662","220310","2021","10"
"663","220320","2021","1"
"664","220323","2021","6"
"665","220325","2021","1"
"666","220327","2021","1"
"667","220330","2021","7"
"668","220335","2021","1"
"669","220345","2021","3"
"670","220350","2021","4"
"671","220360","2021","8"
"672","220370","2021","9"
"673","220375","2021","2"
"674","220380","2021","4"
"675","220390","2021","146"
"676","220410","2021","12"
"677","220415","2021","2"
