"","codigo","ano","PRECOCE"
"1","110000","2021","1"
"2","110001","2021","148"
"3","110002","2021","563"
"4","110003","2021","20"
"5","110004","2021","521"
"6","110005","2021","67"
"7","110006","2021","65"
"8","110007","2021","24"
"9","110008","2021","56"
"10","110009","2021","132"
"11","110010","2021","235"
"12","110011","2021","312"
"13","110012","2021","615"
"14","110013","2021","145"
"15","110014","2021","92"
"16","110015","2021","202"
"17","110018","2021","194"
"18","110020","2021","2094"
"19","110025","2021","119"
"20","110026","2021","23"
"21","110028","2021","299"
"22","110029","2021","28"
"23","110030","2021","455"
"24","110032","2021","131"
"25","110033","2021","166"
"26","110034","2021","94"
"27","110037","2021","56"
"28","110040","2021","98"
"29","110045","2021","192"
"30","110050","2021","33"
"31","110060","2021","33"
"32","110070","2021","50"
"33","110080","2021","91"
"34","110090","2021","13"
"35","110092","2021","46"
"36","110094","2021","77"
"37","110100","2021","35"
"38","110110","2021","32"
"39","110120","2021","19"
"40","110130","2021","61"
"41","110140","2021","58"
"42","110143","2021","46"
"43","110145","2021","19"
"44","110146","2021","10"
"45","110147","2021","12"
"46","110148","2021","16"
"47","110149","2021","85"
"48","110150","2021","83"
"49","110155","2021","19"
"50","110160","2021","37"
"51","110170","2021","70"
"52","110175","2021","32"
"53","110180","2021","31"
"54","120001","2021","60"
"55","120005","2021","69"
"56","120010","2021","151"
"57","120013","2021","62"
"58","120017","2021","53"
"59","120020","2021","445"
"60","120025","2021","76"
"61","120030","2021","161"
"62","120032","2021","55"
"63","120033","2021","90"
"64","120034","2021","63"
"65","120035","2021","96"
"66","120038","2021","69"
"67","120039","2021","73"
"68","120040","2021","1551"
"69","120042","2021","66"
"70","120043","2021","38"
"71","120045","2021","96"
"72","120050","2021","167"
"73","120060","2021","231"
"74","120070","2021","94"
"75","120080","2021","80"
"76","130000","2021","6"
"77","130002","2021","107"
"78","130006","2021","69"
"79","130008","2021","35"
"80","130010","2021","68"
"81","130014","2021","89"
"82","130020","2021","74"
"83","130030","2021","206"
"84","130040","2021","163"
"85","130050","2021","315"
"86","130060","2021","320"
"87","130063","2021","92"
"88","130068","2021","76"
"89","130070","2021","172"
"90","130080","2021","212"
"91","130083","2021","62"
"92","130090","2021","37"
"93","130100","2021","151"
"94","130110","2021","152"
"95","130115","2021","57"
"96","130120","2021","341"
"97","130130","2021","108"
"98","130140","2021","146"
"99","130150","2021","89"
"100","130160","2021","196"
"101","130165","2021","73"
"102","130170","2021","390"
"103","130180","2021","66"
"104","130185","2021","195"
"105","130190","2021","450"
"106","130195","2021","28"
"107","130200","2021","57"
"108","130210","2021","36"
"109","130220","2021","49"
"110","130230","2021","140"
"111","130240","2021","223"
"112","130250","2021","581"
"113","130255","2021","74"
"114","130260","2021","8300"
"115","130270","2021","237"
"116","130280","2021","117"
"117","130290","2021","341"
"118","130300","2021","86"
"119","130310","2021","141"
"120","130320","2021","92"
"121","130330","2021","124"
"122","130340","2021","613"
"123","130350","2021","98"
"124","130353","2021","163"
"125","130356","2021","104"
"126","130360","2021","62"
"127","130370","2021","178"
"128","130380","2021","372"
"129","130390","2021","261"
"130","130395","2021","48"
"131","130400","2021","47"
"132","130406","2021","384"
"133","130410","2021","122"
"134","130420","2021","478"
"135","130423","2021","114"
"136","130426","2021","95"
"137","130430","2021","79"
"138","130440","2021","100"
"139","140002","2021","135"
"140","140005","2021","247"
"141","140010","2021","2517"
"142","140015","2021","102"
"143","140017","2021","113"
"144","140020","2021","115"
"145","140023","2021","54"
"146","140028","2021","35"
"147","140030","2021","124"
"148","140040","2021","124"
"149","140045","2021","168"
"150","140047","2021","135"
"151","140050","2021","45"
"152","140060","2021","25"
"153","140070","2021","158"
"154","150000","2021","1"
"155","150010","2021","787"
"156","150013","2021","39"
"157","150020","2021","217"
