"","codigo","ano","PREMATUROS"
"1","110001","2021","37"
"2","110002","2021","158"
"3","110003","2021","7"
"4","110004","2021","174"
"5","110005","2021","20"
"6","110006","2021","20"
"7","110007","2021","10"
"8","110008","2021","17"
"9","110009","2021","55"
"10","110010","2021","121"
"11","110011","2021","114"
"12","110012","2021","251"
"13","110013","2021","46"
"14","110014","2021","19"
"15","110015","2021","50"
"16","110018","2021","61"
"17","110020","2021","800"
"18","110025","2021","36"
"19","110026","2021","1"
"20","110028","2021","72"
"21","110029","2021","10"
"22","110030","2021","156"
"23","110032","2021","27"
"24","110033","2021","47"
"25","110034","2021","19"
"26","110037","2021","10"
"27","110040","2021","25"
"28","110045","2021","41"
"29","110050","2021","7"
"30","110060","2021","3"
"31","110070","2021","17"
"32","110080","2021","43"
"33","110090","2021","3"
"34","110092","2021","11"
"35","110094","2021","21"
"36","110100","2021","16"
"37","110110","2021","12"
"38","110120","2021","7"
"39","110130","2021","23"
"40","110140","2021","12"
"41","110143","2021","7"
"42","110145","2021","3"
"43","110146","2021","2"
"44","110147","2021","4"
"45","110148","2021","3"
"46","110149","2021","32"
"47","110150","2021","11"
"48","110155","2021","9"
"49","110160","2021","7"
"50","110170","2021","20"
"51","110175","2021","9"
"52","110180","2021","6"
"53","120001","2021","25"
"54","120005","2021","40"
"55","120010","2021","73"
"56","120013","2021","25"
"57","120017","2021","25"
"58","120020","2021","240"
"59","120025","2021","49"
"60","120030","2021","92"
"61","120032","2021","54"
"62","120033","2021","47"
"63","120034","2021","58"
"64","120035","2021","65"
"65","120038","2021","39"
"66","120039","2021","36"
"67","120040","2021","822"
"68","120042","2021","49"
"69","120043","2021","43"
"70","120045","2021","56"
"71","120050","2021","85"
"72","120060","2021","137"
"73","120070","2021","39"
"74","120080","2021","56"
"75","130000","2021","3"
"76","130002","2021","63"
"77","130006","2021","66"
"78","130008","2021","27"
"79","130010","2021","42"
"80","130014","2021","23"
"81","130020","2021","42"
"82","130030","2021","55"
"83","130040","2021","69"
"84","130050","2021","21"
"85","130060","2021","99"
"86","130063","2021","47"
"87","130068","2021","22"
"88","130070","2021","101"
"89","130080","2021","77"
"90","130083","2021","28"
"91","130090","2021","18"
"92","130100","2021","107"
"93","130110","2021","75"
"94","130115","2021","25"
"95","130120","2021","175"
"96","130130","2021","63"
"97","130140","2021","86"
"98","130150","2021","16"
"99","130160","2021","71"
"100","130165","2021","47"
"101","130170","2021","105"
"102","130180","2021","42"
"103","130185","2021","103"
"104","130190","2021","338"
"105","130195","2021","15"
"106","130200","2021","27"
"107","130210","2021","13"
"108","130220","2021","37"
"109","130230","2021","106"
"110","130240","2021","128"
"111","130250","2021","345"
