"codigo","ano","nvm_menor_que_20_anos"
110001,2021,60
110002,2021,265
110003,2021,15
110004,2021,148
110005,2021,39
110006,2021,27
110007,2021,27
110008,2021,43
110009,2021,80
110010,2021,194
110011,2021,147
110012,2021,289
110013,2021,97
110014,2021,43
110015,2021,71
110018,2021,96
110020,2021,1168
110025,2021,43
110026,2021,4
110028,2021,106
110029,2021,10
110030,2021,246
110032,2021,41
110033,2021,96
110034,2021,20
110037,2021,24
110040,2021,32
110045,2021,80
110050,2021,8
110060,2021,5
110070,2021,31
110080,2021,71
110090,2021,4
110092,2021,24
110094,2021,52
110100,2021,18
110110,2021,21
110120,2021,8
110130,2021,23
110140,2021,32
110143,2021,12
110145,2021,8
110146,2021,11
110147,2021,5
110148,2021,3
110149,2021,51
110150,2021,34
110155,2021,2
110160,2021,17
110170,2021,18
110175,2021,11
110180,2021,13
120001,2021,44
120005,2021,79
120010,2021,129
120013,2021,61
120017,2021,58
120020,2021,417
120025,2021,57
120030,2021,262
120032,2021,105
120033,2021,97
120034,2021,74
120035,2021,155
120038,2021,72
120039,2021,100
120040,2021,926
120042,2021,102
120043,2021,56
120045,2021,77
120050,2021,212
120060,2021,413
120070,2021,81
120080,2021,94
130002,2021,172
130006,2021,88
130008,2021,57
130010,2021,83
130014,2021,70
130020,2021,62
130030,2021,305
130040,2021,155
130050,2021,268
130060,2021,266
130063,2021,192
130068,2021,98
130070,2021,245
130080,2021,292
130083,2021,64
130090,2021,69
130100,2021,233
130110,2021,169
130115,2021,47
130120,2021,479
130130,2021,173
130140,2021,272
130150,2021,132
130160,2021,234
130165,2021,88
130170,2021,287
130180,2021,138
130185,2021,223
130190,2021,483
130195,2021,84
130200,2021,53
130210,2021,63
130220,2021,78
130230,2021,218
130240,2021,261
130250,2021,575
130255,2021,66
130260,2021,6005
130270,2021,308
130280,2021,157
130290,2021,427
130300,2021,81
130310,2021,182
130320,2021,89
130330,2021,127
130340,2021,502
130350,2021,145
130353,2021,121
130356,2021,93
130360,2021,95
130370,2021,285
130380,2021,341
130390,2021,247
130395,2021,48
130400,2021,55
130406,2021,466
130410,2021,131
130420,2021,570
130423,2021,131
130426,2021,140
130430,2021,71
130440,2021,98
140002,2021,123
140005,2021,226
140010,2021,1427
140015,2021,127
140017,2021,106
140020,2021,115
140023,2021,41
140028,2021,39
140030,2021,95
140040,2021,138
140045,2021,150
140047,2021,120
140050,2021,24
140060,2021,13
140070,2021,192
150010,2021,511
150013,2021,28
150020,2021,249
150030,2021,317
150034,2021,50
150040,2021,327
150050,2021,230
150060,2021,483
150070,2021,293
150080,2021,1032
150085,2021,200
150090,2021,245
150095,2021,115
150100,2021,54
150110,2021,161
150120,2021,156
150125,2021,12
150130,2021,408
150140,2021,2429
150145,2021,70
150150,2021,176
150157,2021,78
150160,2021,48
150170,2021,516
150172,2021,95
150175,2021,23
150178,2021,240
150180,2021,687
150190,2021,103
150195,2021,107
150200,2021,100
150210,2021,602
150215,2021,262
150220,2021,224
150230,2021,218
150240,2021,565
150250,2021,122
150260,2021,40
150270,2021,153
150275,2021,130
150276,2021,70
150277,2021,93
150280,2021,231
150285,2021,64
150290,2021,128
150293,2021,142
150295,2021,129
150300,2021,48
150304,2021,96
150307,2021,109
150309,2021,151
150310,2021,230
150320,2021,107
150330,2021,292
150340,2021,31
150345,2021,181
150350,2021,111
150360,2021,595
150370,2021,220
150375,2021,225
150380,2021,166
150390,2021,269
150400,2021,139
150405,2021,134
150410,2021,25
150420,2021,901
150430,2021,89
150440,2021,68
150442,2021,302
150445,2021,117
150450,2021,192
150460,2021,138
150470,2021,374
150475,2021,56
150480,2021,250
150490,2021,185
150495,2021,97
150497,2021,43
150500,2021,42
150503,2021,158
150506,2021,388
150510,2021,291
150520,2021,228
150530,2021,376
150540,2021,71
150543,2021,184
150548,2021,190
150549,2021,20
150550,2021,386
150553,2021,786
150555,2021,29
150560,2021,18
150563,2021,52
150565,2021,85
150570,2021,84
150580,2021,470
150590,2021,254
150600,2021,211
150610,2021,45
150611,2021,41
150613,2021,334
150616,2021,92
150618,2021,122
150619,2021,129
150620,2021,173
150630,2021,79
150635,2021,82
150640,2021,20
150650,2021,186
150655,2021,71
150658,2021,59
150660,2021,74
150670,2021,159
150680,2021,1181
150690,2021,16
150700,2021,102
150710,2021,57
150715,2021,103
150720,2021,136
150730,2021,314
150740,2021,46
150745,2021,105
150746,2021,19
150747,2021,71
150750,2021,57
150760,2021,187
150770,2021,150
150775,2021,15
150780,2021,93
150790,2021,102
150795,2021,364
150796,2021,39
150797,2021,76
150800,2021,356
150803,2021,125
150805,2021,66
150808,2021,161
150810,2021,336
150812,2021,99
150815,2021,211
150820,2021,131
150830,2021,322
150835,2021,78
150840,2021,196
160005,2021,20
160010,2021,42
160015,2021,87
160020,2021,52
160021,2021,36
160023,2021,45
160025,2021,34
160027,2021,174
160030,2021,1547
160040,2021,152
160050,2021,142
160053,2021,98
160055,2021,38
160060,2021,447
160070,2021,106
160080,2021,70
170025,2021,11
170030,2021,28
170035,2021,18
170040,2021,32
170070,2021,28
170100,2021,31
170105,2021,6
170110,2021,19
170130,2021,12
170190,2021,27
170200,2021,25
170210,2021,408
170215,2021,14
170220,2021,105
170230,2021,13
170240,2021,32
170255,2021,72
170270,2021,11
170290,2021,48
170300,2021,16
170305,2021,14
170307,2021,31
170310,2021,16
170320,2021,8
170330,2021,25
170360,2021,10
170370,2021,13
170380,2021,35
170382,2021,6
170384,2021,53
170386,2021,10
170388,2021,8
170389,2021,16
170390,2021,29
170410,2021,5
170510,2021,7
170550,2021,99
170555,2021,9
170560,2021,10
170600,2021,23
170610,2021,14
170625,2021,1
170650,2021,35
170700,2021,57
170710,2021,25
170720,2021,22
170730,2021,18
170740,2021,34
170755,2021,14
170765,2021,15
170770,2021,22
170820,2021,69
170825,2021,19
170830,2021,13
170900,2021,68
170930,2021,80
170950,2021,180
170980,2021,6
171050,2021,50
171070,2021,11
171090,2021,10
171110,2021,4
171150,2021,5
171180,2021,8
171190,2021,77
171195,2021,15
171200,2021,12
171215,2021,8
171240,2021,15
171245,2021,5
171250,2021,18
171270,2021,11
171280,2021,6
171320,2021,55
171330,2021,24
171360,2021,19
171370,2021,5
171380,2021,13
171395,2021,13
171420,2021,16
171430,2021,10
171488,2021,36
171500,2021,8
171510,2021,14
171515,2021,4
171525,2021,12
171550,2021,4
171570,2021,17
171575,2021,21
171610,2021,131
171620,2021,42
171630,2021,14
171650,2021,39
171660,2021,33
171665,2021,10
171670,2021,19
171700,2021,9
171720,2021,9
171750,2021,15
171780,2021,7
171790,2021,29
171800,2021,11
171820,2021,168
171830,2021,30
171840,2021,11
171845,2021,1
171850,2021,23
171855,2021,13
171865,2021,8
171870,2021,10
171875,2021,21
171880,2021,26
171884,2021,6
171886,2021,21
171888,2021,11
171889,2021,6
171890,2021,19
171900,2021,12
172000,2021,5
172010,2021,19
172015,2021,4
172020,2021,40
172025,2021,5
172030,2021,15
172049,2021,3
172065,2021,16
172080,2021,25
172085,2021,4
172090,2021,27
172093,2021,4
172097,2021,3
172100,2021,528
172110,2021,65
172120,2021,114
172125,2021,8
172130,2021,12
172208,2021,25
172210,2021,30
210005,2021,391
210010,2021,30
210015,2021,54
210020,2021,49
210030,2021,113
210040,2021,17
210043,2021,117
210047,2021,142
210050,2021,48
210055,2021,35
210060,2021,272
210070,2021,66
210080,2021,70
210083,2021,60
210087,2021,38
210090,2021,137
210095,2021,172
210100,2021,81
210110,2021,26
210120,2021,412
210125,2021,39
210130,2021,52
210135,2021,25
210140,2021,371
210150,2021,48
210160,2021,367
210170,2021,273
210173,2021,65
210177,2021,47
210180,2021,10
210190,2021,40
210193,2021,10
210197,2021,55
210200,2021,159
210203,2021,151
210207,2021,33
210210,2021,135
210215,2021,50
210220,2021,150
210230,2021,101
210232,2021,296
210235,2021,59
210237,2021,18
210240,2021,34
210250,2021,72
210255,2021,47
210260,2021,104
210270,2021,79
210275,2021,47
210280,2021,74
210290,2021,110
210300,2021,505
210310,2021,22
210312,2021,33
210315,2021,74
210317,2021,102
210320,2021,382
210325,2021,34
210330,2021,418
210340,2021,148
210350,2021,197
