"codigo","ano","total_de_nascidos_vivos"
110001,2021,357
110002,2021,1545
110003,2021,68
110004,2021,1366
110005,2021,251
110006,2021,231
110007,2021,118
110008,2021,195
110009,2021,485
110010,2021,834
110011,2021,920
110012,2021,1972
110013,2021,468
110014,2021,233
110015,2021,538
110018,2021,573
110020,2021,7703
110025,2021,254
110026,2021,48
110028,2021,816
110029,2021,78
110030,2021,1623
110032,2021,344
110033,2021,469
110034,2021,200
110037,2021,143
110040,2021,224
110045,2021,542
110050,2021,84
110060,2021,60
110070,2021,133
110080,2021,353
110090,2021,37
110092,2021,152
110094,2021,243
110100,2021,105
110110,2021,120
110120,2021,65
110130,2021,153
110140,2021,175
110143,2021,85
110145,2021,40
110146,2021,42
110147,2021,40
110148,2021,45
110149,2021,284
110150,2021,180
110155,2021,50
110160,2021,83
110170,2021,161
110175,2021,75
110180,2021,72
120001,2021,251
120005,2021,271
120010,2021,525
120013,2021,251
120017,2021,215
120020,2021,1794
120025,2021,304
120030,2021,889
120032,2021,296
120033,2021,379
120034,2021,276
120035,2021,443
120038,2021,282
120039,2021,338
120040,2021,5666
120042,2021,335
120043,2021,178
120045,2021,392
120050,2021,759
120060,2021,1174
120070,2021,326
120080,2021,354
130002,2021,445
130006,2021,285
130008,2021,180
130010,2021,262
130014,2021,290
130020,2021,271
130030,2021,950
130040,2021,507
130050,2021,939
130060,2021,1055
130063,2021,589
130068,2021,297
130070,2021,772
130080,2021,886
130083,2021,205
130090,2021,198
130100,2021,684
130110,2021,619
130115,2021,218
130120,2021,1622
130130,2021,496
130140,2021,728
130150,2021,365
130160,2021,678
130165,2021,340
130170,2021,1127
130180,2021,406
130185,2021,939
130190,2021,2045
130195,2021,298
130200,2021,208
130210,2021,176
130220,2021,208
130230,2021,680
130240,2021,881
130250,2021,2265
130255,2021,256
130260,2021,37041
130270,2021,1010
130280,2021,449
130290,2021,1515
130300,2021,348
130310,2021,640
130320,2021,306
130330,2021,440
130340,2021,2039
130350,2021,426
130353,2021,605
130356,2021,418
130360,2021,368
130370,2021,826
130380,2021,1588
130390,2021,993
130395,2021,204
130400,2021,210
130406,2021,1812
130410,2021,468
130420,2021,1871
130423,2021,450
130426,2021,387
130430,2021,265
130440,2021,379
140002,2021,435
140005,2021,768
140010,2021,8108
140015,2021,433
140017,2021,418
140020,2021,424
140023,2021,210
140028,2021,142
140030,2021,369
140040,2021,477
140045,2021,609
140047,2021,561
140050,2021,141
140060,2021,102
140070,2021,704
150010,2021,2768
150013,2021,132
150020,2021,959
150030,2021,1063
150034,2021,209
150040,2021,1131
150050,2021,792
150060,2021,2207
150070,2021,861
150080,2021,6856
150085,2021,649
150090,2021,900
150095,2021,414
150100,2021,184
150110,2021,576
150120,2021,590
150125,2021,53
150130,2021,2270
150140,2021,16816
150145,2021,291
150150,2021,942
150157,2021,284
150160,2021,194
150170,2021,2155
150172,2021,337
150175,2021,112
150178,2021,733
150180,2021,2830
150190,2021,413
150195,2021,344
150200,2021,311
150210,2021,2520
150215,2021,1434
150220,2021,1058
150230,2021,862
150240,2021,3275
150250,2021,408
150260,2021,141
150270,2021,745
150275,2021,526
150276,2021,212
150277,2021,378
150280,2021,728
150285,2021,215
150290,2021,517
150293,2021,680
150295,2021,477
150300,2021,133
150304,2021,324
150307,2021,395
150309,2021,576
150310,2021,768
150320,2021,531
150330,2021,1134
150340,2021,178
150345,2021,636
150350,2021,450
150360,2021,2599
150370,2021,782
150375,2021,673
150380,2021,686
150390,2021,1128
150400,2021,471
150405,2021,547
150410,2021,97
150420,2021,4670
150430,2021,394
150440,2021,312
150442,2021,1697
150445,2021,461
150450,2021,638
150460,2021,524
150470,2021,1333
150475,2021,286
150480,2021,1128
150490,2021,686
150495,2021,338
150497,2021,192
150500,2021,144
150503,2021,717
150506,2021,1280
150510,2021,1042
150520,2021,760
150530,2021,1567
150540,2021,295
150543,2021,647
150548,2021,755
150549,2021,106
150550,2021,1890
150553,2021,5087
150555,2021,119
150560,2021,88
150563,2021,184
150565,2021,312
150570,2021,333
150580,2021,1673
150590,2021,761
150600,2021,774
150610,2021,171
150611,2021,146
150613,2021,1691
150616,2021,323
150618,2021,596
150619,2021,472
150620,2021,739
150630,2021,334
150635,2021,328
150640,2021,72
150650,2021,933
150655,2021,294
150658,2021,200
150660,2021,360
150670,2021,676
150680,2021,6864
150690,2021,101
150700,2021,428
150710,2021,206
150715,2021,382
150720,2021,479
150730,2021,1120
150740,2021,248
150745,2021,464
150746,2021,82
150747,2021,296
150750,2021,222
150760,2021,882
150770,2021,572
150775,2021,77
150780,2021,296
150790,2021,411
150795,2021,1519
150796,2021,178
150797,2021,301
150800,2021,1505
150803,2021,457
150805,2021,260
150808,2021,742
150810,2021,1664
150812,2021,388
150815,2021,797
150820,2021,606
150830,2021,1091
150835,2021,336
150840,2021,966
160005,2021,94
160010,2021,160
160015,2021,336
160020,2021,209
160021,2021,117
160023,2021,154
160025,2021,156
160027,2021,688
160030,2021,8589
160040,2021,575
160050,2021,609
160053,2021,393
160055,2021,111
160060,2021,2200
160070,2021,343
160080,2021,259
170025,2021,30
170030,2021,91
170035,2021,67
170040,2021,123
170070,2021,133
170100,2021,156
170105,2021,33
170110,2021,72
170130,2021,64
170190,2021,93
170200,2021,94
170210,2021,3050
170215,2021,64
170220,2021,459
170230,2021,92
170240,2021,137
170255,2021,300
170270,2021,29
170290,2021,198
170300,2021,92
170305,2021,57
170307,2021,94
170310,2021,61
170320,2021,51
170330,2021,73
170360,2021,30
170370,2021,60
170380,2021,146
170382,2021,33
170384,2021,170
170386,2021,54
170388,2021,36
170389,2021,55
170390,2021,85
170410,2021,25
170460,2021,13
170510,2021,50
170550,2021,591
170555,2021,54
170560,2021,58
170600,2021,79
170610,2021,76
170625,2021,17
170650,2021,111
170700,2021,299
170710,2021,105
170720,2021,66
170730,2021,57
170740,2021,139
170755,2021,49
170765,2021,61
170770,2021,94
170820,2021,298
170825,2021,57
170830,2021,61
170900,2021,208
170930,2021,364
170950,2021,1263
170980,2021,25
171050,2021,127
171070,2021,66
171090,2021,55
171110,2021,38
171150,2021,29
171180,2021,37
171190,2021,289
171195,2021,63
171200,2021,58
171215,2021,18
171240,2021,53
171245,2021,45
171250,2021,65
171270,2021,40
171280,2021,36
171320,2021,295
171330,2021,175
171360,2021,86
171370,2021,28
171380,2021,72
171395,2021,55
171420,2021,103
171430,2021,62
171488,2021,162
171500,2021,48
171510,2021,62
171515,2021,23
171525,2021,43
171550,2021,16
171570,2021,50
171575,2021,85
171610,2021,795
171620,2021,162
171630,2021,66
171650,2021,220
171660,2021,130
171665,2021,68
171670,2021,124
171700,2021,44
171720,2021,37
171750,2021,82
171780,2021,34
171790,2021,119
171800,2021,48
171820,2021,1115
171830,2021,99
171840,2021,44
171845,2021,31
171850,2021,60
171855,2021,66
171865,2021,31
171870,2021,40
171875,2021,67
171880,2021,88
171884,2021,44
171886,2021,114
171888,2021,39
171889,2021,30
171890,2021,89
171900,2021,53
172000,2021,28
172010,2021,79
172015,2021,21
172020,2021,155
172025,2021,26
172030,2021,56
172049,2021,40
172065,2021,63
172080,2021,135
172085,2021,19
172090,2021,173
172093,2021,33
172097,2021,33
172100,2021,4941
172110,2021,189
172120,2021,445
172125,2021,34
172130,2021,33
172208,2021,145
172210,2021,174
210005,2021,1945
210010,2021,116
210015,2021,183
210020,2021,220
210030,2021,428
210040,2021,71
210043,2021,434
210047,2021,500
210050,2021,182
210055,2021,125
210060,2021,825
210070,2021,308
210080,2021,303
210083,2021,264
210087,2021,150
210090,2021,541
210095,2021,593
210100,2021,421
210110,2021,114
210120,2021,1752
210125,2021,228
210130,2021,238
210135,2021,75
210140,2021,1950
210150,2021,306
210160,2021,1499
210170,2021,1281
210173,2021,218
210177,2021,196
210180,2021,63
210190,2021,234
210193,2021,59
210197,2021,138
210200,2021,579
210203,2021,533
210207,2021,142
210210,2021,532
210215,2021,169
210220,2021,506
210230,2021,365
210232,2021,1125
210235,2021,203
210237,2021,61
210240,2021,140
210250,2021,287
210255,2021,180
210260,2021,343
210270,2021,276
210275,2021,170
210280,2021,352
210290,2021,452
210300,2021,2576
210310,2021,127
210312,2021,141
210315,2021,237
210317,2021,336
210320,2021,1504
210325,2021,163
210330,2021,1889
210340,2021,702
210350,2021,675
210355,2021,227
210360,2021,1045
210370,2021,478
210375,2021,208
210380,2021,308
210390,2021,185
210400,2021,296
210405,2021,484
210407,2021,123
210408,2021,309
210409,2021,253
210410,2021,207
210420,2021,261
210430,2021,144
210440,2021,241
210450,2021,156
210455,2021,305
210460,2021,234
210462,2021,123
210465,2021,124
210467,2021,494
210470,2021,49
210480,2021,1537
210490,2021,135
210500,2021,471
210510,2021,396
210515,2021,280
210520,2021,192
210530,2021,4686
210535,2021,275
210540,2021,1141
210542,2021,314
210545,2021,131
210547,2021,424
210550,2021,442
210560,2021,243
210565,2021,80
210570,2021,784
210580,2021,140
210590,2021,230
210592,2021,147
210594,2021,100
210596,2021,232
210598,2021,118
210600,2021,185
210610,2021,147
210620,2021,111
210630,2021,163
210632,2021,367
210635,2021,99
210637,2021,176
210640,2021,279
210650,2021,363
210660,2021,479
210663,2021,120
210667,2021,91
210670,2021,328
210675,2021,322
210680,2021,236
210690,2021,461
210700,2021,166
210710,2021,141
210720,2021,223
210725,2021,95
210730,2021,39
210735,2021,298
210740,2021,231
210745,2021,224
210750,2021,1658
210760,2021,291
210770,2021,303
210780,2021,446
210790,2021,314
210800,2021,286
210805,2021,342
210810,2021,321
210820,2021,515
210825,2021,397
210830,2021,680
210840,2021,118
210845,2021,343
210850,2021,508
210860,2021,1471
210870,2021,337
210880,2021,251
210890,2021,219
210900,2021,408
210905,2021,55
210910,2021,754
210920,2021,167
210923,2021,106
210927,2021,334
210930,2021,202
210940,2021,206
210945,2021,513
210950,2021,364
210955,2021,96
210960,2021,533
210970,2021,86
210975,2021,67
210980,2021,487
210990,2021,1493
211000,2021,1003
211003,2021,363
211010,2021,471
211020,2021,540
211023,2021,166
211027,2021,131
211030,2021,258
211040,2021,382
211050,2021,456
211060,2021,404
211065,2021,95
211070,2021,621
211080,2021,64
211085,2021,108
211090,2021,131
